n,seed,init_obj,optimal,n_evals,f,alg,imp_div_evals,imp_div_evals_new,imp_minus_evals,minus_evals,minus_evals_normalised
1000,10,516,1,6287,1000,dyn_theory,255.83396011884994,-108.26434403183572,-5802,-6286,-0.4713203868936056
1000,11,507,1,6863,1000,dyn_theory,248.82324693276607,-131.87605363771712,-6369,-6862,-0.5145085101597079
1000,12,500,1,7151,1000,dyn_theory,256.4859543405716,-152.49408279833634,-6650,-7150,-0.5361025717927593
1000,13,510,1,6509,1000,dyn_theory,246.64381973082422,-106.14732237456093,-6018,-6508,-0.487965809402415
1000,14,505,1,6649,1000,dyn_theory,258.6240650846529,-153.8530918273658,-6153,-6648,-0.4984629226962603
1000,1,509,1,7556,1000,dyn_theory,253.71364102586708,-128.84468517305297,-7064,-7555,-0.5664692209642362
1000,15,500,1,6394,1000,dyn_theory,259.9836029023097,-101.68661730994344,-5893,-6393,-0.47934318062532943
1000,16,511,1,6442,1000,dyn_theory,246.68521011152583,-132.89331612635036,-5952,-6441,-0.4829421908975052
1000,17,516,1,8064,1000,dyn_theory,245.17405951191645,-147.95281673477425,-7579,-8063,-0.6045587463447565
1000,18,500,1,6819,1000,dyn_theory,257.39060133221886,-125.12422063203991,-6318,-6818,-0.5112094174102145
1000,19,500,1,6468,1000,dyn_theory,261.97875167104996,-143.89144028426932,-5967,-6467,-0.48489165479493274
1000,20,517,1,6699,1000,dyn_theory,240.808408131527,-158.2926786659142,-6215,-6698,-0.5022118917297763
1000,2,500,1,6705,1000,dyn_theory,263.16651768710614,-107.95423140995811,-6204,-6704,-0.5026617680137978
1000,3,509,1,8393,1000,dyn_theory,250.00121942065132,-119.8187299204183,-7901,-8392,-0.6292269625852912
1000,4,500,1,7019,1000,dyn_theory,257.41043791792964,-151.22136668568731,-6518,-7018,-0.5262052935442774
1000,5,519,1,6729,1000,dyn_theory,244.33815336128828,-135.09666168080034,-6247,-6728,-0.5044612731498851
1000,6,500,1,6626,1000,dyn_theory,249.81023889852818,-133.36728752238633,-6125,-6625,-0.4967383969408428
1000,7,500,1,6248,1000,dyn_theory,262.4806277631896,-110.21775076383244,-5747,-6247,-0.468396191047464
1000,8,508,1,7476,1000,dyn_theory,250.11495025292965,-141.95536743277333,-6983,-7475,-0.560470870510612
1000,9,500,1,7808,1000,dyn_theory,254.18177194647944,-148.4293809402017,-7307,-7807,-0.5853640248931558
