n,seed,init_obj,optimal,n_evals,f,alg,imp_div_evals,imp_div_evals_new,imp_minus_evals,minus_evals,minus_evals_normalised
1000,10,516,1,5874,1000,lbd_discrete,385.5815796845052,-583.8200543165981,-5389,-5873,-0.44035390267676294
1000,11,507,1,6459,1000,lbd_discrete,394.19399382577393,-588.704227588809,-5965,-6458,-0.48421684036889734
1000,12,500,1,6040,1000,lbd_discrete,401.8151574547929,-563.8101987958981,-5539,-6039,-0.4528004798680355
1000,13,510,1,7738,1000,lbd_discrete,391.65886245407256,-602.6554367793375,-7247,-7737,-0.5801154682462313
1000,14,505,1,6515,1000,lbd_discrete,396.4124495414723,-572.2727151924289,-6019,-6514,-0.48841568568643656
1000,1,509,1,6145,1000,lbd_discrete,392.5159835094148,-542.4906279245959,-5653,-6144,-0.46067331483841994
1000,15,500,1,6697,1000,lbd_discrete,401.414294339418,-692.4852711697474,-6196,-6696,-0.5020619329684305
1000,16,511,1,6909,1000,lbd_discrete,390.71006918882506,-546.464945970394,-6419,-6908,-0.5179575616705413
1000,17,516,1,5620,1000,lbd_discrete,386.45130247641436,-571.9040561091174,-5135,-5619,-0.4213091399865028
1000,18,500,1,6425,1000,lbd_discrete,401.15860936414526,-506.00186272688126,-5924,-6424,-0.48166754142610824
1000,19,500,1,6214,1000,lbd_discrete,401.3363685210531,-591.0679205027783,-5713,-6213,-0.4658468921046701
1000,20,517,1,6123,1000,lbd_discrete,384.09402178115914,-521.0677818661451,-5639,-6122,-0.45902376846367304
1000,2,500,1,6290,1000,lbd_discrete,401.7385455144511,-491.5124253337288,-5789,-6289,-0.47154532503561675
1000,3,509,1,7436,1000,lbd_discrete,392.37200897837687,-569.2743567522568,-6944,-7435,-0.5574716952837969
1000,4,500,1,6563,1000,lbd_discrete,401.564681201112,-678.5641428620719,-6062,-6562,-0.4920146959586082
1000,5,519,1,6040,1000,lbd_discrete,382.8633769992058,-573.8766264562081,-5558,-6039,-0.45280047986803634
1000,6,500,1,6006,1000,lbd_discrete,401.658095551271,-716.1317590893395,-5505,-6005,-0.4502511809252423
1000,7,500,1,7324,1000,lbd_discrete,401.4378035366188,-530.7193608194193,-6823,-7323,-0.5490740046487221
1000,8,508,1,6516,1000,lbd_discrete,393.3375934023472,-492.72246429278636,-6023,-6515,-0.48849066506710775
1000,9,500,1,5861,1000,lbd_discrete,401.343656595607,-518.1484714088305,-5360,-5860,-0.43937917072805044
1500,10,768,1,10510,1500,lbd_discrete,584.0406856304652,-872.2541917572456,-9777,-10509,-0.5271368378812217
1500,11,766,1,9977,1500,lbd_discrete,587.0175385014039,-982.8934814879333,-9242,-9976,-0.5004012841091497
1500,12,750,1,9319,1500,lbd_discrete,602.7685672210215,-810.6597289187258,-8568,-9318,-0.46739566613162453
1500,13,758,1,9301,1500,lbd_discrete,594.0815797991679,-803.2141975600051,-8558,-9300,-0.4664927768860383
1500,14,750,1,9183,1500,lbd_discrete,603.1526339869554,-848.3999521367247,-8432,-9182,-0.4605738362760856
1500,15,756,1,9055,1500,lbd_discrete,596.2531631326614,-708.6461279225294,-8310,-9054,-0.4541532905297
1500,16,775,1,9683,1500,lbd_discrete,577.4043872895842,-875.0821363108325,-8957,-9682,-0.4856540930979148
1500,1,750,1,8857,1500,lbd_discrete,602.2554479719015,-830.3410838052494,-8106,-8856,-0.4442215088282525
1500,17,766,1,9641,1500,lbd_discrete,586.241329200607,-850.3330608097183,-8906,-9640,-0.4835473515248824
1500,18,750,1,10389,1500,lbd_discrete,602.6064484399034,-775.883952498989,-9638,-10388,-0.5210674157303401
1500,19,750,1,10357,1500,lbd_discrete,602.213864551393,-962.7986455918312,-9606,-10356,-0.5194622792937393
1500,20,767,1,10667,1500,lbd_discrete,585.4570735241873,-861.6029861234298,-9933,-10666,-0.5350120385232777
1500,2,750,1,10286,1500,lbd_discrete,602.2951950520458,-794.7775694313916,-9535,-10285,-0.5159008828250434
1500,3,778,1,10231,1500,lbd_discrete,574.4605035062548,-831.5219705983977,-9508,-10230,-0.5131420545746421
1500,4,750,1,9559,1500,lbd_discrete,602.6448996424417,-760.9043551290077,-8808,-9558,-0.4794341894061034
1500,5,780,1,9771,1500,lbd_discrete,572.924529808246,-805.3428280282375,-9050,-9770,-0.49006821829855934
1500,6,751,1,8133,1500,lbd_discrete,601.7417657078038,-824.9418989931869,-7383,-8132,-0.4079052969502423
1500,7,750,1,10937,1500,lbd_discrete,602.3921816460592,-905.1439103103168,-10186,-10936,-0.5485553772070643
1500,8,765,1,8658,1500,lbd_discrete,587.8432801516076,-873.6420726970657,-7922,-8657,-0.4342395666131638
1500,9,750,1,8849,1500,lbd_discrete,602.6841446197745,-808.5415347406915,-8098,-8848,-0.44382022471910376
2000,10,1023,1,12661,2000,lbd_discrete,779.4650660991821,-1043.5755773907383,-11683,-12660,-0.46397419922303834
2000,1,1000,1,13697,2000,lbd_discrete,802.7321969541899,-1006.8046277549096,-12696,-13696,-0.5019423880378151
2000,11,1010,1,12957,2000,lbd_discrete,793.0217180689417,-1092.0363550081825,-11966,-12956,-0.47482225317011706
2000,12,1000,1,12770,2000,lbd_discrete,803.0942370262932,-1034.6553466392677,-11769,-12769,-0.46796892179138816
2000,13,1005,1,13200,2000,lbd_discrete,797.6953875416779,-1021.2145982777827,-12204,-13199,-0.4837279190793743
2000,14,1006,1,11818,2000,lbd_discrete,797.6110759129909,-1054.771769206345,-10823,-11817,-0.4330792347724048
2000,15,1003,1,12780,2000,lbd_discrete,799.6603954972078,-1076.8874198113022,-11782,-12779,-0.46833541010041
2000,16,1012,1,13254,2000,lbd_discrete,790.5113226770875,-1127.9848082809665,-12265,-13253,-0.48570695594809804
