n,seed,optimal,n_evals,f,alg,imp_div_evals,imp_div_evals_new,imp_minus_evals,minus_evals,minus_evals_normalised
1000,10,1,2790,1000,lbd_discrete,4.809396151934515,-9.665810231307606,-2739,-2789,-0.2091174926895105
1000,11,1,2558,1000,lbd_discrete,4.647271603762475,-6.089929686359301,-2507,-2557,-0.19172227637399725
1000,1,1,3292,1000,lbd_discrete,4.95080037638087,-9.606175970751009,-3241,-3291,-0.2467571417860089
1000,12,1,3561,1000,lbd_discrete,4.725808789707886,-7.387391144009165,-3510,-3560,-0.26692659518632383
1000,13,1,3141,1000,lbd_discrete,4.987022506524815,-8.025958651098263,-3090,-3140,-0.23543525530479117
1000,14,1,3299,1000,lbd_discrete,4.9581970116177265,-10.459302945744616,-3248,-3298,-0.24728199745070115
1000,15,1,3851,1000,lbd_discrete,4.754631866241772,-12.707558713089925,-3800,-3850,-0.2886706155807153
1000,16,1,2492,1000,lbd_discrete,4.967871385709944,-6.374839152297574,-2441,-2491,-0.18677363724975635
1000,17,1,2721,1000,lbd_discrete,5.054312471507848,-5.570419480170321,-2670,-2720,-0.2039439154232586
1000,18,1,3009,1000,lbd_discrete,4.731107446091965,-5.41243539549016,-2958,-3008,-0.22553797705630957
1000,19,1,2971,1000,lbd_discrete,4.9978638674992935,-9.163399307363319,-2920,-2970,-0.22268876059083767
1000,20,1,2882,1000,lbd_discrete,5.049045024176602,-8.169556331222175,-2831,-2881,-0.21601559571117937
1000,2,1,2371,1000,lbd_discrete,4.827999458912434,-6.907558269350132,-2320,-2370,-0.17770113218864814
1000,3,1,2478,1000,lbd_discrete,4.673125096867357,-6.259088706430334,-2427,-2477,-0.18572392592037196
1000,4,1,2947,1000,lbd_discrete,4.761482798247503,-6.942759383357153,-2896,-2946,-0.22088925545475002
1000,5,1,2688,1000,lbd_discrete,4.620742783412726,-5.578716073169727,-2637,-2687,-0.20146959586113822
1000,6,1,3018,1000,lbd_discrete,4.9308513107334875,-6.535239613111143,-2967,-3017,-0.2262127914823424
1000,7,1,2920,1000,lbd_discrete,4.977395440290318,-7.855289215201252,-2869,-2919,-0.21886481217665144
1000,8,1,2778,1000,lbd_discrete,4.630936577633769,-6.568824239329744,-2727,-2777,-0.20821774012146668
1000,9,1,2983,1000,lbd_discrete,4.841584053365774,-8.808637184036256,-2932,-2982,-0.2235885131588813
1500,10,1,3642,1500,lbd_discrete,7.102500090393826,-10.35837781240771,-3566,-3641,-0.18263443017656492
1500,11,1,6374,1500,lbd_discrete,7.213360384259475,-13.479719040602792,-6298,-6373,-0.319672953451043
1500,1,1,4783,1500,lbd_discrete,7.245673759107014,-14.018550699612259,-4707,-4782,-0.2398675762439807
1500,12,1,4058,1500,lbd_discrete,7.5942316263235465,-11.042975578862663,-3982,-4057,-0.20350120385232742
1500,13,1,3871,1500,lbd_discrete,7.23301472354118,-12.06822844647565,-3795,-3870,-0.19412118780096294
1500,14,1,4069,1500,lbd_discrete,7.182347508424231,-10.469039030414052,-3993,-4068,-0.20405296950240753
1500,15,1,4353,1500,lbd_discrete,7.308904901213335,-11.488842594843828,-4277,-4352,-0.21829855537720685
1500,16,1,5227,1500,lbd_discrete,7.1842501903790845,-10.825301077297986,-5151,-5226,-0.26213884430176554
1500,17,1,4524,1500,lbd_discrete,7.160234092756971,-12.275376864346368,-4448,-4523,-0.22687600321027276
1500,18,1,5114,1500,lbd_discrete,7.510791282045562,-13.889564547032423,-5038,-5113,-0.25647070626003193
1500,19,1,5023,1500,lbd_discrete,7.063562518317124,-11.445159832355136,-4947,-5022,-0.25190609951845905
1500,20,1,5245,1500,lbd_discrete,7.216212588285635,-14.170342001327128,-5169,-5244,-0.26304173354735144
1500,2,1,4326,1500,lbd_discrete,7.347900083260211,-10.296834828523064,-4250,-4325,-0.21694422150882817
1500,3,1,4527,1500,lbd_discrete,7.454279161241232,-12.840621768529381,-4451,-4526,-0.22702648475120377
1500,4,1,5340,1500,lbd_discrete,7.609289009901809,-10.70733433450194,-5264,-5339,-0.26780698234349914
1500,5,1,4376,1500,lbd_discrete,7.4514611613876305,-12.451331065696065,-4300,-4375,-0.21945224719101106
1500,6,1,5164,1500,lbd_discrete,7.250752979760265,-13.4933664080414,-5088,-5163,-0.25897873194221505
