n,seed,init_obj,optimal,n_evals,f,alg,imp_div_evals,imp_div_evals_new,imp_minus_evals,minus_evals,minus_evals_normalised
1000,10,516,1,10731,1000,lbd_fixed_15,19.687377557153876,10.68946452439745,-10246,-10730,-0.8045287545924866
1000,10,516,1,11909,1000,lbd_fixed_20,14.855209591213143,9.258356845930756,-11424,-11908,-0.8928544650221191
1000,10,516,1,13332,1000,lbd_fixed_1,484.0,-6181.5,-12847,-13331,-0.9995501237162097
1000,10,516,1,16959,1000,lbd_fixed_40,7.412285200569997,5.413127114643914,-16474,-16958,-1.2715003374072136
1000,10,516,1,26436,1000,lbd_fixed_60,4.930192441663442,3.5482844615839686,-25951,-26435,-1.9820799280197956
1000,10,516,1,8238,1000,lbd_fixed_10,29.503252114242894,13.840858945406156,-7753,-8237,-0.6176051585813899
1000,10,516,1,9680,1000,lbd_fixed_5,59.5480158730161,-15.845634920635014,-9195,-9679,-0.7257254255079822
1000,11,507,1,11942,1000,lbd_fixed_20,15.146121372486595,9.493966506882343,-11448,-11941,-0.895328784584239
1000,11,507,1,17706,1000,lbd_fixed_40,7.565382877260489,5.469596274794282,-17212,-17705,-1.3275099347679393
1000,11,507,1,25497,1000,lbd_fixed_60,5.021652650465176,3.6926169243806846,-25003,-25496,-1.9116742895703702
1000,11,507,1,8034,1000,lbd_fixed_10,30.068235862005235,14.920866059894667,-7540,-8033,-0.6023093649246456
1000,11,507,1,8809,1000,lbd_fixed_1,493.0,-3911.0,-8315,-8808,-0.6604183849441753
1000,11,507,1,9055,1000,lbd_fixed_5,60.85476190476222,-10.351587301587367,-8561,-9054,-0.6788633125890361
1000,11,507,1,9970,1000,lbd_fixed_15,20.28814422675153,11.81672195416831,-9476,-9969,-0.747469445902377
1000,12,500,1,10613,1000,lbd_fixed_15,20.42067255244329,11.368853440391186,-10112,-10612,-0.7956811876733901
1000,12,500,1,11855,1000,lbd_fixed_20,15.30190973627811,9.702789641845289,-11354,-11854,-0.888805578465921
1000,12,500,1,18909,1000,lbd_fixed_40,7.680774878605406,5.479257541704648,-18408,-18908,-1.4177101297143295
1000,12,500,1,25281,1000,lbd_fixed_60,5.091419101794428,3.761671411999774,-24780,-25280,-1.8954787433455804
1000,12,500,1,8410,1000,lbd_fixed_10,30.932592484914494,14.578780142286313,-7909,-8409,-0.6305016120566842
1000,12,500,1,8909,1000,lbd_fixed_1,500.0,-3954.0,-8408,-8908,-0.6679163230112112
1000,12,500,1,9404,1000,lbd_fixed_5,62.06388888888923,-11.64246031746037,-8903,-9403,-0.7050311164429752
1000,13,510,1,11374,1000,lbd_fixed_5,59.95396825396853,-28.189880952381184,-10883,-11373,-0.8527404963634936
1000,13,510,1,12109,1000,lbd_fixed_20,14.906044849156249,9.243128358516397,-11618,-12108,-0.9078503411561819
1000,13,510,1,15853,1000,lbd_fixed_1,490.0,-7436.0,-15362,-15852,-1.1885731423859058
1000,13,510,1,19749,1000,lbd_fixed_40,7.560348400591082,5.227006604699517,-19258,-19748,-1.4806928094773928
1000,13,510,1,26249,1000,lbd_fixed_60,5.004998257147428,3.6437253708156545,-25758,-26248,-1.9680587838344477
1000,13,510,1,8287,1000,lbd_fixed_10,29.894087452794935,14.297538862496243,-7796,-8286,-0.621279148234235
1000,13,510,1,9350,1000,lbd_fixed_15,20.067130899471323,12.196476489654135,-8859,-9349,-0.7009822298867807
1000,14,505,1,10771,1000,lbd_fixed_1,495.0,-4890.0,-10275,-10770,-0.8075279298194199
1000,14,505,1,11041,1000,lbd_fixed_20,15.237091969789569,9.968908525031393,-10545,-11040,-0.8277723626002846
1000,14,505,1,18353,1000,lbd_fixed_40,7.611126665621218,5.453037564779444,-17857,-18352,-1.3760215940616336
1000,14,505,1,24031,1000,lbd_fixed_60,5.046421587552707,3.7945133462357816,-23535,-24030,-1.8017545175076861
1000,14,505,1,8270,1000,lbd_fixed_5,60.783730158730414,-4.603373015873138,-7774,-8269,-0.6200044987628399
1000,14,505,1,8971,1000,lbd_fixed_10,30.857687621116476,13.336582036814233,-8475,-8970,-0.6725650446127314
1000,14,505,1,9832,1000,lbd_fixed_15,20.218214242015268,11.924912902935887,-9336,-9831,-0.7371222913698732
1000,1,509,1,10163,1000,lbd_fixed_1,491.0,-4590.0,-9671,-10162,-0.7619404663718415
1000,1,509,1,10510,1000,lbd_fixed_20,15.103568068132226,10.136855640172119,-10018,-10509,-0.7879583114643464
1000,1,509,1,18439,1000,lbd_fixed_40,7.5268251392579195,5.363867013606602,-17947,-18438,-1.3824698207992803
1000,1,509,1,24905,1000,lbd_fixed_60,5.033452852798687,3.7246544915713606,-24413,-24904,-1.867286496213543
1000,1,509,1,7725,1000,lbd_fixed_10,30.143765986335705,15.624615679298337,-7233,-7724,-0.579140736297518
1000,1,509,1,8632,1000,lbd_fixed_5,61.022619047619344,-6.00952380952387,-8140,-8631,-0.6471470345654929
1000,1,509,1,9457,1000,lbd_fixed_15,20.23474473228362,12.156329387804776,-8965,-9456,-0.7090050236185053
1000,15,500,1,10508,1000,lbd_fixed_5,61.85912698412727,-19.97261904761916,-10007,-10507,-0.7878083527030016
1000,15,500,1,10735,1000,lbd_fixed_1,500.0,-4867.0,-10234,-10734,-0.804828672115287
1000,15,500,1,11832,1000,lbd_fixed_20,15.489589900988358,9.845265171974113,-11331,-11831,-0.8870810527105042
1000,15,500,1,18295,1000,lbd_fixed_40,7.717124369608295,5.549612834608533,-17794,-18294,-1.371672789982754
1000,15,500,1,24953,1000,lbd_fixed_60,5.096033591224663,3.7902858515567392,-24452,-24952,-1.8708855064857162
1000,15,500,1,8542,1000,lbd_fixed_10,30.527037590892178,14.337668927219969,-8041,-8541,-0.6403988903051652
1000,15,500,1,9361,1000,lbd_fixed_15,20.461470572652846,12.50373896457768,-8860,-9360,-0.7018070030741543
1000,16,511,1,10205,1000,lbd_fixed_15,19.773153950460024,11.21765987776165,-9715,-10204,-0.7650896003599003
1000,16,511,1,11633,1000,lbd_fixed_20,14.876740411711879,9.482809404024977,-11143,-11632,-0.8721601559571116
1000,16,511,1,17553,1000,lbd_fixed_40,7.533177832280338,5.449980351400984,-17063,-17552,-1.3160380895253798
1000,16,511,1,24762,1000,lbd_fixed_60,5.034647343388021,3.7287511929599098,-24272,-24761,-1.8565644447776868
1000,16,511,1,8022,1000,lbd_fixed_1,489.0,-3521.5,-7532,-8021,-0.6014096123566026
1000,16,511,1,9019,1000,lbd_fixed_10,29.917852318819868,12.737813953332518,-8529,-9018,-0.6761640548849068
1000,16,511,1,9442,1000,lbd_fixed_5,60.15277777777802,-14.197023809523872,-8952,-9441,-0.7078803329084477
1000,17,516,1,10110,1000,lbd_fixed_15,19.797745365807355,11.33237422869534,-9625,-10109,-0.7579665591962208
1000,17,516,1,11288,1000,lbd_fixed_20,14.918048594367658,9.51920124669672,-10803,-11287,-0.8462922696258517
1000,17,516,1,11310,1000,lbd_fixed_5,59.162301587301904,-29.746428571428783,-10825,-11309,-0.847941816000594
1000,17,516,1,13176,1000,lbd_fixed_1,484.0,-6103.5,-12691,-13175,-0.9878533403316336
1000,17,516,1,18342,1000,lbd_fixed_40,7.501872983205277,5.310759960611504,-17857,-18341,-1.3751968208742595
1000,17,516,1,24863,1000,lbd_fixed_60,4.920887329929889,3.630743403782853,-24378,-24862,-1.8641373622253883
1000,17,516,1,7785,1000,lbd_fixed_10,30.082521284185415,14.999864233204011,-7300,-7784,-0.5836394991377364
1000,18,500,1,10220,1000,lbd_fixed_15,20.403285540309952,11.82009492159428,-9719,-10219,-0.7662142910699552
1000,18,500,1,10665,1000,lbd_fixed_5,60.776984126984445,-21.834126984127074,-10164,-10664,-0.7995801154682406
1000,18,500,1,11253,1000,lbd_fixed_20,15.306717688434189,10.034173800669091,-10752,-11252,-0.8436679913023915
1000,18,500,1,17719,1000,lbd_fixed_40,7.590317193527056,5.511113512649615,-17218,-17718,-1.3284846667166543
1000,18,500,1,26795,1000,lbd_fixed_60,5.138988591590549,3.714081201184192,-26294,-26794,-2.008997525680438
1000,18,500,1,7816,1000,lbd_fixed_10,30.710646701939325,15.802713402868179,-7315,-7815,-0.5859638599385163
1000,18,500,1,9225,1000,lbd_fixed_1,500.0,-4112.0,-8724,-9224,-0.6916098073030447
1000,19,500,1,10250,1000,lbd_fixed_15,20.520286821904456,11.916097908845112,-9749,-10249,-0.7684636724900652
1000,19,500,1,10712,1000,lbd_fixed_20,15.38874195716535,10.263089109154631,-10211,-10711,-0.803104146359751
1000,19,500,1,11273,1000,lbd_fixed_1,500.0,-5136.0,-10772,-11272,-0.8451675789159402
1000,19,500,1,18079,1000,lbd_fixed_40,7.588460811122457,5.474324429586973,-17578,-18078,-1.3554772437579683
