n,seed,init_obj,optimal,n_evals,f,alg,imp_div_evals,imp_div_evals_new,imp_minus_evals,minus_evals,minus_evals_normalised
1000,10,516,1,10731,1000,lbd_fixed_15,19.687377557153876,10.68946452439745,-10246,-10730,-0.8045287545924866
1000,10,516,1,11909,1000,lbd_fixed_20,14.855209591213143,9.258356845930756,-11424,-11908,-0.8928544650221191
1000,10,516,1,13332,1000,lbd_fixed_1,484.0,-6181.5,-12847,-13331,-0.9995501237162097
1000,10,516,1,16959,1000,lbd_fixed_40,7.412285200569997,5.413127114643914,-16474,-16958,-1.2715003374072136
1000,10,516,1,26436,1000,lbd_fixed_60,4.930192441663442,3.5482844615839686,-25951,-26435,-1.9820799280197956
1000,10,516,1,8238,1000,lbd_fixed_10,29.503252114242894,13.840858945406156,-7753,-8237,-0.6176051585813899
1000,10,516,1,9680,1000,lbd_fixed_5,59.5480158730161,-15.845634920635014,-9195,-9679,-0.7257254255079822
1000,11,507,1,11942,1000,lbd_fixed_20,15.146121372486595,9.493966506882343,-11448,-11941,-0.895328784584239
1000,11,507,1,17706,1000,lbd_fixed_40,7.565382877260489,5.469596274794282,-17212,-17705,-1.3275099347679393
1000,11,507,1,25497,1000,lbd_fixed_60,5.021652650465176,3.6926169243806846,-25003,-25496,-1.9116742895703702
1000,11,507,1,8034,1000,lbd_fixed_10,30.068235862005235,14.920866059894667,-7540,-8033,-0.6023093649246456
1000,11,507,1,8809,1000,lbd_fixed_1,493.0,-3911.0,-8315,-8808,-0.6604183849441753
1000,11,507,1,9055,1000,lbd_fixed_5,60.85476190476222,-10.351587301587367,-8561,-9054,-0.6788633125890361
1000,11,507,1,9970,1000,lbd_fixed_15,20.28814422675153,11.81672195416831,-9476,-9969,-0.747469445902377
1000,12,490,1,11663,1000,lbd_fixed_20,15.659821418753289,10.19027101427904,-11152,-11662,-0.8744095373772203
1000,12,490,1,17739,1000,lbd_fixed_40,7.7816317820655065,5.720386424934684,-17228,-17738,-1.329984254330058
1000,12,490,1,25411,1000,lbd_fixed_60,5.19437754059004,3.850778997277567,-24900,-25410,-1.905226062832722
1000,12,490,1,7648,1000,lbd_fixed_5,63.708730158730454,3.8851190476189172,-7137,-7647,-0.5733673239859043
1000,12,490,1,8439,1000,lbd_fixed_10,31.165132240480578,14.861269041416065,-7928,-8438,-0.6326760140961232
1000,12,490,1,8909,1000,lbd_fixed_1,510.0,-3944.0,-8398,-8908,-0.6679163230112112
1000,12,490,1,9480,1000,lbd_fixed_15,20.933458460638295,12.99465935375194,-8969,-9479,-0.7107295493739216
1000,13,510,1,11374,1000,lbd_fixed_5,59.95396825396853,-28.189880952381184,-10883,-11373,-0.8527404963634936
1000,13,510,1,12109,1000,lbd_fixed_20,14.906044849156249,9.243128358516397,-11618,-12108,-0.9078503411561819
1000,13,510,1,15853,1000,lbd_fixed_1,490.0,-7436.0,-15362,-15852,-1.1885731423859058
1000,13,510,1,19749,1000,lbd_fixed_40,7.560348400591082,5.227006604699517,-19258,-19748,-1.4806928094773928
1000,13,510,1,26249,1000,lbd_fixed_60,5.004998257147428,3.6437253708156545,-25758,-26248,-1.9680587838344477
1000,13,510,1,8287,1000,lbd_fixed_10,29.894087452794935,14.297538862496243,-7796,-8286,-0.621279148234235
1000,13,510,1,9350,1000,lbd_fixed_15,20.067130899471323,12.196476489654135,-8859,-9349,-0.7009822298867807
1000,14,505,1,10771,1000,lbd_fixed_1,495.0,-4890.0,-10275,-10770,-0.8075279298194199
1000,14,505,1,11041,1000,lbd_fixed_20,15.237091969789569,9.968908525031393,-10545,-11040,-0.8277723626002846
1000,14,505,1,18353,1000,lbd_fixed_40,7.611126665621218,5.453037564779444,-17857,-18352,-1.3760215940616336
1000,14,505,1,24031,1000,lbd_fixed_60,5.046421587552707,3.7945133462357816,-23535,-24030,-1.8017545175076861
1000,14,505,1,8270,1000,lbd_fixed_5,60.783730158730414,-4.603373015873138,-7774,-8269,-0.6200044987628399
1000,14,505,1,8971,1000,lbd_fixed_10,30.857687621116476,13.336582036814233,-8475,-8970,-0.6725650446127314
1000,14,505,1,9832,1000,lbd_fixed_15,20.218214242015268,11.924912902935887,-9336,-9831,-0.7371222913698732
1000,1,509,1,10163,1000,lbd_fixed_1,491.0,-4590.0,-9671,-10162,-0.7619404663718415
1000,1,509,1,10510,1000,lbd_fixed_20,15.103568068132226,10.136855640172119,-10018,-10509,-0.7879583114643464
1000,1,509,1,18439,1000,lbd_fixed_40,7.5268251392579195,5.363867013606602,-17947,-18438,-1.3824698207992803
1000,1,509,1,24905,1000,lbd_fixed_60,5.033452852798687,3.7246544915713606,-24413,-24904,-1.867286496213543
1000,1,509,1,7725,1000,lbd_fixed_10,30.143765986335705,15.624615679298337,-7233,-7724,-0.579140736297518
1000,1,509,1,8632,1000,lbd_fixed_5,61.022619047619344,-6.00952380952387,-8140,-8631,-0.6471470345654929
1000,1,509,1,9457,1000,lbd_fixed_15,20.23474473228362,12.156329387804776,-8965,-9456,-0.7090050236185053
1000,15,486,1,10735,1000,lbd_fixed_1,514.0,-4853.0,-10220,-10734,-0.804828672115287
1000,15,486,1,12084,1000,lbd_fixed_20,15.723664929527537,10.015434714791807,-11569,-12083,-0.9059758566394235
1000,15,486,1,18005,1000,lbd_fixed_40,7.8535170834756105,5.729305517412569,-17490,-18004,-1.3499287695883637
1000,15,486,1,24732,1000,lbd_fixed_60,5.23509539220565,3.948197638372077,-24217,-24731,-1.8543150633575778
1000,15,486,1,8206,1000,lbd_fixed_5,63.09404761904794,0.08095238095230095,-7691,-8205,-0.6152058183999382
1000,15,486,1,8881,1000,lbd_fixed_15,20.874447857043165,13.515578833091094,-8366,-8880,-0.6658169003524032
1000,15,486,1,8933,1000,lbd_fixed_10,31.77825873387025,14.831116052420201,-8418,-8932,-0.669715828147259
1000,16,511,1,10205,1000,lbd_fixed_15,19.773153950460024,11.21765987776165,-9715,-10204,-0.7650896003599003
1000,16,511,1,11633,1000,lbd_fixed_20,14.876740411711879,9.482809404024977,-11143,-11632,-0.8721601559571116
1000,16,511,1,17553,1000,lbd_fixed_40,7.533177832280338,5.449980351400984,-17063,-17552,-1.3160380895253798
1000,16,511,1,24762,1000,lbd_fixed_60,5.034647343388021,3.7287511929599098,-24272,-24761,-1.8565644447776868
1000,16,511,1,8022,1000,lbd_fixed_1,489.0,-3521.5,-7532,-8021,-0.6014096123566026
1000,16,511,1,9019,1000,lbd_fixed_10,29.917852318819868,12.737813953332518,-8529,-9018,-0.6761640548849068
1000,16,511,1,9442,1000,lbd_fixed_5,60.15277777777802,-14.197023809523872,-8952,-9441,-0.7078803329084477
1000,17,516,1,10110,1000,lbd_fixed_15,19.797745365807355,11.33237422869534,-9625,-10109,-0.7579665591962208
1000,17,516,1,11288,1000,lbd_fixed_20,14.918048594367658,9.51920124669672,-10803,-11287,-0.8462922696258517
1000,17,516,1,11310,1000,lbd_fixed_5,59.162301587301904,-29.746428571428783,-10825,-11309,-0.847941816000594
1000,17,516,1,13176,1000,lbd_fixed_1,484.0,-6103.5,-12691,-13175,-0.9878533403316336
1000,17,516,1,18342,1000,lbd_fixed_40,7.501872983205277,5.310759960611504,-17857,-18341,-1.3751968208742595
1000,17,516,1,24863,1000,lbd_fixed_60,4.920887329929889,3.630743403782853,-24378,-24862,-1.8641373622253883
1000,17,516,1,7785,1000,lbd_fixed_10,30.082521284185415,14.999864233204011,-7300,-7784,-0.5836394991377364
1000,18,475,1,12198,1000,lbd_fixed_20,16.193045356974846,10.421146809394934,-11672,-12197,-0.914523506035839
1000,18,475,1,18969,1000,lbd_fixed_40,8.013386744773678,5.772513721788345,-18443,-18968,-1.4222088925545477
1000,18,475,1,25074,1000,lbd_fixed_60,5.334930731940354,4.024989845641646,-24548,-25073,-1.879958011546826
1000,18,475,1,7947,1000,lbd_fixed_10,32.28378170676939,17.005597670303537,-7421,-7946,-0.595786158806328
1000,18,475,1,9012,1000,lbd_fixed_5,63.16349206349243,-6.053968253968308,-8486,-9011,-0.6756391992202115
1000,18,475,1,9225,1000,lbd_fixed_1,525.0,-4087.0,-8699,-9224,-0.6916098073030447
1000,18,475,1,9831,1000,lbd_fixed_15,21.071146767739936,12.943867913564144,-9305,-9830,-0.7370473119892028
1000,19,470,1,10950,1000,lbd_fixed_20,16.39916777517563,11.13974153789738,-10419,-10949,-0.8209492389592858
1000,19,470,1,11273,1000,lbd_fixed_1,530.0,-5106.0,-10742,-11272,-0.8451675789159402
1000,19,470,1,18482,1000,lbd_fixed_40,8.052974286530107,5.894296327079493,-17951,-18481,-1.3856939341681038
1000,19,470,1,25761,1000,lbd_fixed_60,5.373184403820139,4.0377134212869485,-25230,-25760,-1.9314688460673322
