n,seed,optimal,n_evals,f,alg,imp_div_evals,imp_div_evals_new,imp_minus_evals,minus_evals,minus_evals_normalised
1000,10,1,7962,1000,lbd_one,50.0,-3930.5,-7911,-7961,-0.5969108495163811
1000,11,1,11329,1000,lbd_one,50.0,-5614.0,-11278,-11328,-0.8493664242334803
1000,1,1,6406,1000,lbd_one,50.0,-3152.5,-6355,-6405,-0.48024293319331685
1000,12,1,11079,1000,lbd_one,50.0,-5489.0,-11028,-11078,-0.8306215790658905
1000,13,1,4757,1000,lbd_one,50.0,-2328.0,-4706,-4756,-0.35660193446798616
1000,14,1,8813,1000,lbd_one,50.0,-4356.0,-8762,-8812,-0.6607183024668567
1000,15,1,6942,1000,lbd_one,50.0,-3420.5,-6891,-6941,-0.5204318812326147
1000,16,1,9173,1000,lbd_one,50.0,-4536.0,-9122,-9172,-0.687710879508186
1000,17,1,8829,1000,lbd_one,50.0,-4364.0,-8778,-8828,-0.6619179725575824
1000,18,1,5822,1000,lbd_one,50.0,-2860.5,-5771,-5821,-0.4364549748818595
1000,19,1,6962,1000,lbd_one,50.0,-3430.5,-6911,-6961,-0.5219314688460219
1000,20,1,9198,1000,lbd_one,50.0,-4548.5,-9147,-9197,-0.689585364024945
1000,2,1,9767,1000,lbd_one,50.0,-4833.0,-9716,-9766,-0.7322486316263793
1000,3,1,7145,1000,lbd_one,50.0,-3522.0,-7094,-7144,-0.5356526955086977
1000,4,1,7359,1000,lbd_one,50.0,-3629.0,-7308,-7358,-0.5516982829721545
1000,5,1,4835,1000,lbd_one,50.0,-2367.0,-4784,-4834,-0.36245032616026984
1000,6,1,9169,1000,lbd_one,50.0,-4534.0,-9118,-9168,-0.6874109619855046
1000,7,1,8373,1000,lbd_one,50.0,-4136.0,-8322,-8372,-0.6277273749718987
1000,8,1,6066,1000,lbd_one,50.0,-2982.5,-6015,-6065,-0.4547499437654136
1000,9,1,8792,1000,lbd_one,50.0,-4345.5,-8741,-8791,-0.6591437354727792
1500,10,1,15390,1500,lbd_one,75.0,-7619.5,-15314,-15389,-0.7719201444624467
1500,11,1,11185,1500,lbd_one,75.0,-5517.0,-11109,-11184,-0.5609951845906695
1500,1,1,8805,1500,lbd_one,75.0,-4327.0,-8729,-8804,-0.44161316211871765
1500,12,1,10680,1500,lbd_one,75.0,-5264.5,-10604,-10679,-0.5356641252005988
1500,13,1,8517,1500,lbd_one,75.0,-4183.0,-8441,-8516,-0.42716693418934676
1500,14,1,12611,1500,lbd_one,75.0,-6230.0,-12535,-12610,-0.6325240770465921
1500,15,1,20820,1500,lbd_one,75.0,-10334.5,-20744,-20819,-1.0442917335476638
1500,16,1,11368,1500,lbd_one,75.0,-5608.5,-11292,-11367,-0.5701745585874675
1500,17,1,13561,1500,lbd_one,75.0,-6705.0,-13485,-13560,-0.6801765650081113
1500,18,1,13179,1500,lbd_one,75.0,-6514.0,-13103,-13178,-0.6610152487962162
1500,19,1,10723,1500,lbd_one,75.0,-5286.0,-10647,-10722,-0.5378210272872781
1500,20,1,11136,1500,lbd_one,75.0,-5492.5,-11060,-11135,-0.558537319422128
1500,2,1,11859,1500,lbd_one,75.0,-5854.0,-11783,-11858,-0.5948033707865263
1500,3,1,11118,1500,lbd_one,75.0,-5483.5,-11042,-11117,-0.5576344301765414
1500,4,1,10520,1500,lbd_one,75.0,-5184.5,-10444,-10519,-0.5276384430176061
1500,5,1,11664,1500,lbd_one,75.0,-5756.5,-11588,-11663,-0.585022070626004
1500,6,1,9360,1500,lbd_one,75.0,-4604.5,-9284,-9359,-0.4694522471909428
1500,7,1,12324,1500,lbd_one,75.0,-6086.5,-12248,-12323,-0.6181280096308489
1500,8,1,11131,1500,lbd_one,75.0,-5490.0,-11055,-11130,-0.5582865168539095
1500,9,1,13609,1500,lbd_one,75.0,-6729.0,-13533,-13608,-0.6825842696630091
2000,10,1,22655,2000,lbd_one,100.0,-11227.0,-22554,-22654,-0.8302426152604567
2000,11,1,17173,2000,lbd_one,100.0,-8486.0,-17072,-17172,-0.629333724254246
