n,seed,optimal,n_evals,f,alg,imp_div_evals,imp_div_evals_new,imp_minus_evals,minus_evals,minus_evals_normalised
1000,10,1,6287,1000,dyn_theory,255.83396011884994,-108.26434403183572,-5802,-6286,-0.4713203868936056
1000,11,1,6863,1000,dyn_theory,248.82324693276607,-131.87605363771712,-6369,-6862,-0.5145085101597079
1000,1,1,7556,1000,dyn_theory,253.71364102586708,-128.84468517305297,-7064,-7555,-0.5664692209642362
1000,12,1,6069,1000,dyn_theory,262.2501155520893,-109.86404937993657,-5568,-6068,-0.45497488190747626
1000,13,1,6509,1000,dyn_theory,246.64381973082422,-106.14732237456093,-6018,-6508,-0.487965809402415
1000,14,1,6649,1000,dyn_theory,258.6240650846529,-153.8530918273658,-6153,-6648,-0.4984629226962603
1000,15,1,6246,1000,dyn_theory,260.4420430750146,-99.95628983757419,-5745,-6245,-0.46824623228612205
1000,16,1,6442,1000,dyn_theory,246.68521011152583,-132.89331612635036,-5952,-6441,-0.4829421908975052
1000,17,1,8064,1000,dyn_theory,245.17405951191645,-147.95281673477425,-7579,-8063,-0.6045587463447565
1000,18,1,5989,1000,dyn_theory,259.9509774104906,-115.62854420160372,-5488,-5988,-0.44897653145385263
1000,19,1,7106,1000,dyn_theory,259.2715199968873,-87.63339029877157,-6605,-7105,-0.5327284996625941
1000,20,1,6699,1000,dyn_theory,240.808408131527,-158.2926786659142,-6215,-6698,-0.5022118917297763
1000,2,1,6705,1000,dyn_theory,263.16651768710614,-107.95423140995811,-6204,-6704,-0.5026617680137978
1000,3,1,8393,1000,dyn_theory,250.00121942065132,-119.8187299204183,-7901,-8392,-0.6292269625852912
1000,4,1,6739,1000,dyn_theory,248.40240422798945,-125.4935870092045,-6238,-6738,-0.5052110669565881
1000,5,1,6729,1000,dyn_theory,244.33815336128828,-135.09666168080034,-6247,-6728,-0.5044612731498851
1000,6,1,7300,1000,dyn_theory,245.72826772642546,-113.28247357732702,-6799,-7299,-0.5472744995126351
1000,7,1,6644,1000,dyn_theory,249.1978994124989,-138.06236861407825,-6143,-6643,-0.49808802579290845
1000,8,1,7476,1000,dyn_theory,250.11495025292965,-141.95536743277333,-6983,-7475,-0.560470870510612
1000,9,1,5982,1000,dyn_theory,257.1789121725158,-125.5822721357755,-5481,-5981,-0.44845167578915984
1500,10,1,9950,1500,dyn_theory,356.7926506134665,-163.8605000459681,-9217,-9949,-0.49904695024077145
1500,11,1,9667,1500,dyn_theory,379.9069492007107,-177.82747752337772,-8932,-9666,-0.48485152487961725
1500,1,1,9486,1500,dyn_theory,384.25761056470196,-187.11322831277502,-8735,-9485,-0.47577247191011546
1500,12,1,10072,1500,dyn_theory,388.2271489042941,-214.9244602365809,-9321,-10071,-0.5051665329053004
1500,13,1,10120,1500,dyn_theory,381.8819602531226,-152.7875769246048,-9377,-10119,-0.5075742375601949
1500,14,1,9889,1500,dyn_theory,398.1061013544178,-186.92202425180093,-9138,-9888,-0.4959871589085111
1500,15,1,9682,1500,dyn_theory,383.0586663874582,-201.64426279430182,-8937,-9681,-0.48560393258427315
1500,16,1,10021,1500,dyn_theory,366.6503174542334,-217.32186092196633,-9295,-10020,-0.5026083467094736
1500,17,1,9058,1500,dyn_theory,372.42209904529,-178.9800985480667,-8323,-9057,-0.454303772070628
1500,18,1,10721,1500,dyn_theory,370.9670096431169,-194.7186686249335,-9970,-10720,-0.5377207062600353
1500,19,1,10620,1500,dyn_theory,379.68896540657886,-186.39954853286983,-9869,-10619,-0.532654494382025
1500,20,1,9924,1500,dyn_theory,371.48179315040403,-231.14731353513486,-9190,-9923,-0.4977427768860384
1500,2,1,9886,1500,dyn_theory,385.80444304438896,-204.61229985903415,-9135,-9885,-0.4958366773675784
1500,3,1,9703,1500,dyn_theory,363.8864711409151,-168.93829475764548,-8980,-9702,-0.4866573033707886
1500,4,1,11236,1500,dyn_theory,378.5464593189491,-240.17320835479583,-10485,-11235,-0.5635533707865205
1500,5,1,8933,1500,dyn_theory,355.8440361577103,-156.25761005289698,-8212,-8932,-0.4480337078651703
1500,6,1,9534,1500,dyn_theory,390.2209000114725,-169.74572927050767,-8784,-9533,-0.478180176565011
1500,7,1,9604,1500,dyn_theory,379.16190358434125,-185.33523962720162,-8853,-9603,-0.48169141252006725
1500,8,1,10415,1500,dyn_theory,385.87285955262786,-188.11832337768706,-9679,-10414,-0.5223715890850753
1500,9,1,11153,1500,dyn_theory,388.54483201136225,-215.9985438324033,-10402,-11152,-0.5593900481540974
2000,10,1,12213,2000,dyn_theory,507.72045990025384,-222.19499412781894,-11235,-12212,-0.44755552297881096
2000,11,1,13648,2000,dyn_theory,505.51358897032213,-269.7263647329616,-12657,-13647,-0.5001465953236035
2000,1,1,15905,2000,dyn_theory,508.16833498989394,-257.134208729806,-14904,-15904,-0.5828630066700814
2000,12,1,13768,2000,dyn_theory,508.3094430142907,-253.27763108144362,-12767,-13767,-0.5045444550318784
2000,13,1,14209,2000,dyn_theory,505.4295206371705,-237.52201075258841,-13213,-14208,-0.5207065894597906
2000,14,1,14745,2000,dyn_theory,505.25328450445267,-212.68971832281025,-13750,-14744,-0.5403503628234225
2000,15,1,13842,2000,dyn_theory,516.679179045694,-260.47588674560836,-12844,-13841,-0.5072564685186474
2000,16,1,14324,2000,dyn_theory,515.5536188086859,-218.99557826040896,-13335,-14323,-0.5249212050135547
2000,17,1,12624,2000,dyn_theory,506.989252027024,-224.33104899868601,-11631,-12623,-0.46261819247965436
2000,18,1,15161,2000,dyn_theory,504.360400832134,-280.6657020644421,-14160,-15160,-0.5555962764787736
2000,19,1,12110,2000,dyn_theory,511.87187791705145,-250.43417622330534,-11109,-12109,-0.44378069339587545
2000,20,1,14682,2000,dyn_theory,497.6107807228524,-263.7508392612179,-13700,-14681,-0.5380414864765745
2000,2,1,12733,2000,dyn_theory,512.8329378529979,-224.19975266271317,-11740,-12732,-0.4666129150480038
2000,3,1,12248,2000,dyn_theory,493.04245434848326,-216.32259037828214,-11275,-12247,-0.44883823206039275
2000,4,1,15390,2000,dyn_theory,504.5746029513868,-276.4855522933962,-14389,-15389,-0.5639888587553997
2000,5,1,13464,2000,dyn_theory,497.20718367838384,-257.24306603016123,-12481,-13463,-0.49340321043757984
2000,6,1,14005,2000,dyn_theory,522.8286373545787,-262.23929128115475,-13004,-14004,-0.5132302279557222
2000,7,1,13550,2000,dyn_theory,517.1138758461424,-223.76486467554795,-12549,-13549,-0.4965550098951794
2000,8,1,13709,2000,dyn_theory,498.5460249857431,-263.15564574938924,-12726,-13708,-0.502382174008643
2000,9,1,14661,2000,dyn_theory,512.2189377730605,-303.62927075166186,-13660,-14660,-0.5372718610276264
500,10,1,2936,500,dyn_theory,116.4918320749203,-57.755888384580146,-2706,-2935,-0.45440470661093046
500,11,1,3644,500,dyn_theory,126.3416869622752,-83.07424821556776,-3394,-3643,-0.5640191980182694
500,1,1,3200,500,dyn_theory,129.49015031021605,-71.41258413500678,-2949,-3199,-0.49527790679671835
500,12,1,3029,500,dyn_theory,129.16077020202016,-45.22150094468405,-2778,-3028,-0.4688032203127419
500,13,1,3257,500,dyn_theory,125.11434640522877,-53.00689668740371,-3006,-3256,-0.5041028022913765
500,14,1,2998,500,dyn_theory,125.12230555993715,-81.42039706277284,-2761,-2997,-0.4640037157454717
500,15,1,2715,500,dyn_theory,127.1568310502134,-49.32456893882979,-2464,-2714,-0.4201888837281308
500,16,1,2937,500,dyn_theory,106.03051243051239,-58.18712477171419,-2706,-2936,-0.45455952933890675
500,17,1,3154,500,dyn_theory,117.56898091015738,-77.42195499071225,-2911,-3153,-0.4881560613098006
500,18,1,3801,500,dyn_theory,130.6553954516415,-62.30221827374516,-3550,-3800,-0.588326366310574
500,19,1,3551,500,dyn_theory,123.23111048308414,-64.04723713424443,-3300,-3550,-0.549620684316458
500,20,1,3269,500,dyn_theory,123.03417905108309,-66.02209314630579,-3025,-3268,-0.5059606750270941
500,2,1,3370,500,dyn_theory,127.5318689640128,-61.23209514748611,-3119,-3369,-0.5215977705527175
500,3,1,3544,500,dyn_theory,123.18322412881238,-56.50159714861976,-3294,-3543,-0.5485369252206221
500,4,1,2817,500,dyn_theory,130.57215178096754,-56.27365523079142,-2566,-2816,-0.43598080198173106
500,5,1,3580,500,dyn_theory,112.89911420279064,-102.13932045309261,-3346,-3579,-0.5541105434277754
500,6,1,3451,500,dyn_theory,128.05580245777617,-74.67960127992599,-3201,-3450,-0.5341384115188116
500,7,1,3502,500,dyn_theory,128.14705975998538,-67.39202840883529,-3251,-3501,-0.5420343706456108
500,8,1,3106,500,dyn_theory,127.96182482550128,-61.14128694824302,-2855,-3105,-0.48072457036693006
500,9,1,2840,500,dyn_theory,127.56583778708386,-51.944470547082766,-2589,-2839,-0.43954172472519
