n,seed,optimal,n_evals,f,alg,imp_div_evals,imp_div_evals_new,imp_minus_evals,minus_evals,minus_evals_normalised
1000,10,1,6287,1000,dyn_theory,255.83396011884994,-108.26434403183572,-5802,-6286,-0.4713203868936056
1000,11,1,6863,1000,dyn_theory,248.82324693276607,-131.87605363771712,-6369,-6862,-0.5145085101597079
1000,1,1,7556,1000,dyn_theory,253.71364102586708,-128.84468517305297,-7064,-7555,-0.5664692209642362
1000,12,1,6218,1000,dyn_theory,265.0200128956015,-144.10624203850344,-5707,-6217,-0.4661468096273543
1000,13,1,6509,1000,dyn_theory,246.64381973082422,-106.14732237456093,-6018,-6508,-0.487965809402415
1000,14,1,6649,1000,dyn_theory,258.6240650846529,-153.8530918273658,-6153,-6648,-0.4984629226962603
1000,15,1,6513,1000,dyn_theory,271.9810313510545,-136.23079593187748,-5998,-6512,-0.488265726925097
1000,16,1,6442,1000,dyn_theory,246.68521011152583,-132.89331612635036,-5952,-6441,-0.4829421908975052
1000,17,1,8064,1000,dyn_theory,245.17405951191645,-147.95281673477425,-7579,-8063,-0.6045587463447565
1000,18,1,6362,1000,dyn_theory,283.4249005435763,-134.50482281547227,-5836,-6361,-0.4769438404438792
1000,19,1,7701,1000,dyn_theory,279.7697816782176,-91.6580824160686,-7170,-7700,-0.5773412311614329
1000,20,1,6699,1000,dyn_theory,240.808408131527,-158.2926786659142,-6215,-6698,-0.5022118917297763
1000,2,1,6705,1000,dyn_theory,263.16651768710614,-107.95423140995811,-6204,-6704,-0.5026617680137978
1000,3,1,8393,1000,dyn_theory,250.00121942065132,-119.8187299204183,-7901,-8392,-0.6292269625852912
1000,4,1,7244,1000,dyn_theory,278.6394375200486,-103.63070242444604,-6718,-7243,-0.5430756541950983
1000,5,1,6729,1000,dyn_theory,244.33815336128828,-135.09666168080034,-6247,-6728,-0.5044612731498851
1000,6,1,6262,1000,dyn_theory,271.5708516772516,-117.45583796811874,-5747,-6261,-0.46944590237684725
1000,7,1,6417,1000,dyn_theory,271.0430259255139,-98.32009966930244,-5900,-6416,-0.48106770638074675
1000,8,1,7476,1000,dyn_theory,250.11495025292965,-141.95536743277333,-6983,-7475,-0.560470870510612
1000,9,1,6743,1000,dyn_theory,271.7885899827657,-147.1209972379281,-6230,-6742,-0.5055109844792707
1500,10,1,9950,1500,dyn_theory,356.7926506134665,-163.8605000459681,-9217,-9949,-0.49904695024077145
1500,11,1,9667,1500,dyn_theory,379.9069492007107,-177.82747752337772,-8932,-9666,-0.48485152487961725
1500,1,1,9049,1500,dyn_theory,381.50390572039663,-188.71457507626656,-8296,-9048,-0.45385232744783666
1500,12,1,11497,1500,dyn_theory,408.7420575202167,-194.22690432035137,-10723,-11496,-0.5766452648475159
1500,13,1,10120,1500,dyn_theory,381.8819602531226,-152.7875769246048,-9377,-10119,-0.5075742375601949
1500,14,1,10347,1500,dyn_theory,372.8128203043864,-201.69700378657822,-9590,-10346,-0.5189606741573064
1500,15,1,9682,1500,dyn_theory,383.0586663874582,-201.64426279430182,-8937,-9681,-0.48560393258427315
1500,16,1,10021,1500,dyn_theory,366.6503174542334,-217.32186092196633,-9295,-10020,-0.5026083467094736
1500,17,1,9058,1500,dyn_theory,372.42209904529,-178.9800985480667,-8323,-9057,-0.454303772070628
1500,18,1,10190,1500,dyn_theory,407.38943800793686,-116.37092128949959,-9411,-10189,-0.5110854735152509
1500,19,1,9939,1500,dyn_theory,402.43822174901226,-160.81291415220386,-9150,-9938,-0.49849518459069314
1500,20,1,9924,1500,dyn_theory,371.48179315040403,-231.14731353513486,-9190,-9923,-0.4977427768860384
1500,2,1,9772,1500,dyn_theory,394.57363583158036,-153.14721714489502,-9013,-9771,-0.4901183788122009
1500,3,1,9703,1500,dyn_theory,363.8864711409151,-168.93829475764548,-8980,-9702,-0.4866573033707886
1500,4,1,9668,1500,dyn_theory,391.4983307542127,-172.22240581756932,-8913,-9667,-0.4849016853932603
1500,5,1,8933,1500,dyn_theory,355.8440361577103,-156.25761005289698,-8212,-8932,-0.4480337078651703
1500,6,1,9534,1500,dyn_theory,390.2209000114725,-169.74572927050767,-8784,-9533,-0.478180176565011
1500,7,1,9043,1500,dyn_theory,386.0402889856532,-157.56269965408674,-8284,-9042,-0.4535513643659737
1500,8,1,10415,1500,dyn_theory,385.87285955262786,-188.11832337768706,-9679,-10414,-0.5223715890850753
1500,9,1,9550,1500,dyn_theory,399.6356972545224,-184.30559344337078,-8782,-9549,-0.4789827447833089
2000,10,1,12213,2000,dyn_theory,507.72045990025384,-222.19499412781894,-11235,-12212,-0.44755552297881096
2000,11,1,13648,2000,dyn_theory,505.51358897032213,-269.7263647329616,-12657,-13647,-0.5001465953236035
2000,1,1,15178,2000,dyn_theory,526.2153882726078,-257.1139781058396,-14163,-15177,-0.5562193066041122
2000,12,1,13911,2000,dyn_theory,529.5929316247933,-218.0824622799367,-12892,-13910,-0.509785237850907
2000,13,1,14209,2000,dyn_theory,505.4295206371705,-237.52201075258841,-13213,-14208,-0.5207065894597906
2000,14,1,14745,2000,dyn_theory,505.25328450445267,-212.68971832281025,-13750,-14744,-0.5403503628234225
2000,15,1,13842,2000,dyn_theory,516.679179045694,-260.47588674560836,-12844,-13841,-0.5072564685186474
2000,16,1,14324,2000,dyn_theory,515.5536188086859,-218.99557826040896,-13335,-14323,-0.5249212050135547
2000,17,1,12624,2000,dyn_theory,506.989252027024,-224.33104899868601,-11631,-12623,-0.46261819247965436
2000,18,1,14252,2000,dyn_theory,528.050824102019,-266.49664923527064,-13234,-14251,-0.5222824891885886
2000,19,1,12951,2000,dyn_theory,551.6946184926596,-225.46134121438453,-11905,-12950,-0.4746023601847042
2000,20,1,14682,2000,dyn_theory,497.6107807228524,-263.7508392612179,-13700,-14681,-0.5380414864765745
2000,2,1,12733,2000,dyn_theory,512.8329378529979,-224.19975266271317,-11740,-12732,-0.4666129150480038
2000,3,1,12248,2000,dyn_theory,493.04245434848326,-216.32259037828214,-11275,-12247,-0.44883823206039275
2000,4,1,14267,2000,dyn_theory,513.1897237798519,-273.5932313272807,-13259,-14266,-0.5228322216521232
2000,5,1,13464,2000,dyn_theory,497.20718367838384,-257.24306603016123,-12481,-13463,-0.49340321043757984
2000,6,1,12975,2000,dyn_theory,513.7930660038738,-239.63674330244075,-11966,-12974,-0.47548193212635914
2000,7,1,12917,2000,dyn_theory,538.4457410122733,-214.1930104588114,-11906,-12916,-0.4733562999340269
2000,8,1,13709,2000,dyn_theory,498.5460249857431,-263.15564574938924,-12726,-13708,-0.502382174008643
2000,9,1,12634,2000,dyn_theory,539.3829604438631,-277.99038495909423,-11607,-12633,-0.4629846807886767
500,10,1,2936,500,dyn_theory,116.4918320749203,-57.755888384580146,-2706,-2935,-0.45440470661093046
500,11,1,3644,500,dyn_theory,126.3416869622752,-83.07424821556776,-3394,-3643,-0.5640191980182694
500,1,1,2865,500,dyn_theory,142.12822177822156,-46.63807183894613,-2605,-2864,-0.4434122929246015
500,12,1,3536,500,dyn_theory,132.31461724549948,-58.64559885341839,-3279,-3535,-0.5472983433968105
500,13,1,3393,500,dyn_theory,140.80342019092006,-47.867761510283835,-3126,-3392,-0.5251586932961761
500,14,1,2998,500,dyn_theory,125.12230555993715,-81.42039706277284,-2761,-2997,-0.4640037157454717
500,15,1,3446,500,dyn_theory,146.1063061192856,-82.10078729569025,-3181,-3445,-0.5333642978789296
500,16,1,2937,500,dyn_theory,106.03051243051239,-58.18712477171419,-2706,-2936,-0.45455952933890675
500,17,1,3154,500,dyn_theory,117.56898091015738,-77.42195499071225,-2911,-3153,-0.4881560613098006
500,18,1,3230,500,dyn_theory,149.97953016482415,-51.53880273704947,-2954,-3229,-0.49992258863601136
500,19,1,2484,500,dyn_theory,137.60904208798928,-19.291967189993528,-2218,-2483,-0.3844248335655673
500,20,1,3269,500,dyn_theory,123.03417905108309,-66.02209314630579,-3025,-3268,-0.5059606750270941
500,2,1,3128,500,dyn_theory,139.70442605639957,-55.15932167173247,-2871,-3127,-0.4841306703824127
500,3,1,3544,500,dyn_theory,123.18322412881238,-56.50159714861976,-3294,-3543,-0.5485369252206221
500,4,1,3511,500,dyn_theory,133.91706568136084,-54.20763497795116,-3250,-3510,-0.5434277751973988
500,5,1,3580,500,dyn_theory,112.89911420279064,-102.13932045309261,-3346,-3579,-0.5541105434277754
500,6,1,3451,500,dyn_theory,128.05580245777617,-74.67960127992599,-3201,-3450,-0.5341384115188116
500,7,1,3449,500,dyn_theory,138.18178210678187,-72.30561190185777,-3184,-3448,-0.5338287660628586
500,8,1,2951,500,dyn_theory,132.82288624027748,-59.728536353345056,-2695,-2950,-0.45672704753057797
500,9,1,3385,500,dyn_theory,151.1118729069346,-33.73921951808183,-3107,-3384,-0.5239201114723641
