n,seed,optimal,n_evals,f,alg,imp_div_evals,imp_div_evals_new,imp_minus_evals,minus_evals,minus_evals_normalised
1000,10,1,5874,1000,lbd_discrete,385.5815796845052,-583.8200543165981,-5389,-5873,-0.44035390267676294
1000,11,1,6459,1000,lbd_discrete,394.19399382577393,-588.704227588809,-5965,-6458,-0.48421684036889734
1000,1,1,6145,1000,lbd_discrete,392.5159835094148,-542.4906279245959,-5653,-6144,-0.46067331483841994
1000,12,1,5692,1000,lbd_discrete,401.7796477108772,-564.0215123496881,-5191,-5691,-0.4267076553947657
1000,13,1,7738,1000,lbd_discrete,391.65886245407256,-602.6554367793375,-7247,-7737,-0.5801154682462313
1000,14,1,6515,1000,lbd_discrete,396.4124495414723,-572.2727151924289,-6019,-6514,-0.48841568568643656
1000,15,1,6446,1000,lbd_discrete,401.2544600247298,-685.1444526992564,-5945,-6445,-0.4832421084201809
1000,16,1,6909,1000,lbd_discrete,390.71006918882506,-546.464945970394,-6419,-6908,-0.5179575616705413
1000,17,1,5620,1000,lbd_discrete,386.45130247641436,-571.9040561091174,-5135,-5619,-0.4213091399865028
1000,18,1,6669,1000,lbd_discrete,401.83241197828636,-530.729642079114,-6168,-6668,-0.499962510309665
1000,19,1,6074,1000,lbd_discrete,401.54483308659013,-533.6276045961099,-5573,-6073,-0.455349778810827
1000,20,1,6123,1000,lbd_discrete,384.09402178115914,-521.0677818661451,-5639,-6122,-0.45902376846367304
1000,2,1,6290,1000,lbd_discrete,401.7385455144511,-491.5124253337288,-5789,-6289,-0.47154532503561675
1000,3,1,7436,1000,lbd_discrete,392.37200897837687,-569.2743567522568,-6944,-7435,-0.5574716952837969
1000,4,1,6170,1000,lbd_discrete,401.30852854427644,-628.2636356382751,-5669,-6169,-0.46254779935517554
1000,5,1,6040,1000,lbd_discrete,382.8633769992058,-573.8766264562081,-5558,-6039,-0.45280047986803634
1000,6,1,6747,1000,lbd_discrete,401.76465792571776,-737.149473160537,-6246,-6746,-0.5058109020019456
1000,7,1,5613,1000,lbd_discrete,401.42201506486026,-589.3302306800063,-5112,-5612,-0.4207842843218104
1000,8,1,6516,1000,lbd_discrete,393.3375934023472,-492.72246429278636,-6023,-6515,-0.48849066506710775
1000,9,1,6482,1000,lbd_discrete,401.1856004371445,-477.57815551706295,-5981,-6481,-0.4859413661243169
1500,10,1,10510,1500,lbd_discrete,584.0406856304652,-872.2541917572456,-9777,-10509,-0.5271368378812217
1500,11,1,9977,1500,lbd_discrete,587.0175385014039,-982.8934814879333,-9242,-9976,-0.5004012841091497
1500,1,1,9595,1500,lbd_discrete,603.0122463224441,-853.140119472838,-8844,-9594,-0.48123996789727397
1500,12,1,8607,1500,lbd_discrete,602.4641589818123,-815.1388627227393,-7856,-8606,-0.4316813804173378
1500,13,1,9301,1500,lbd_discrete,594.0815797991679,-803.2141975600051,-8558,-9300,-0.4664927768860383
1500,14,1,10453,1500,lbd_discrete,602.2535600691003,-850.3723099014235,-9702,-10452,-0.5242776886035337
1500,15,1,9055,1500,lbd_discrete,596.2531631326614,-708.6461279225294,-8310,-9054,-0.4541532905297
1500,16,1,9683,1500,lbd_discrete,577.4043872895842,-875.0821363108325,-8957,-9682,-0.4856540930979148
1500,17,1,9641,1500,lbd_discrete,586.241329200607,-850.3330608097183,-8906,-9640,-0.4835473515248824
1500,18,1,10084,1500,lbd_discrete,602.022472892603,-748.63439702941,-9333,-10083,-0.5057684590690249
1500,19,1,11113,1500,lbd_discrete,602.4109308718732,-963.66698322452,-10362,-11112,-0.557383627608346
1500,20,1,10667,1500,lbd_discrete,585.4570735241873,-861.6029861234298,-9933,-10666,-0.5350120385232777
1500,2,1,9451,1500,lbd_discrete,602.503905617965,-774.9614979707903,-8700,-9450,-0.4740168539325881
1500,3,1,10231,1500,lbd_discrete,574.4605035062548,-831.5219705983977,-9508,-10230,-0.5131420545746421
1500,4,1,8190,1500,lbd_discrete,602.5915092881486,-758.3752610883278,-7439,-8189,-0.410764446227933
1500,5,1,9771,1500,lbd_discrete,572.924529808246,-805.3428280282375,-9050,-9770,-0.49006821829855934
1500,6,1,8133,1500,lbd_discrete,601.7417657078038,-824.9418989931869,-7383,-8132,-0.4079052969502423
1500,7,1,10815,1500,lbd_discrete,602.2030332707878,-909.2171713264225,-10064,-10814,-0.5424357945425362
1500,8,1,8658,1500,lbd_discrete,587.8432801516076,-873.6420726970657,-7922,-8657,-0.4342395666131638
1500,9,1,9967,1500,lbd_discrete,602.6851320007296,-803.8845573743646,-9216,-9966,-0.4998996789727151
2000,10,1,12661,2000,lbd_discrete,779.4650660991821,-1043.5755773907383,-11683,-12660,-0.46397419922303834
2000,11,1,12957,2000,lbd_discrete,793.0217180689417,-1092.0363550081825,-11966,-12956,-0.47482225317011706
2000,1,1,13728,2000,lbd_discrete,802.6141909076867,-1010.484756485323,-12727,-13727,-0.5030785017957857
2000,12,1,12933,2000,lbd_discrete,802.8640467173093,-1037.197887002504,-11932,-12932,-0.4739426812284619
2000,13,1,13200,2000,lbd_discrete,797.6953875416779,-1021.2145982777827,-12204,-13199,-0.4837279190793743
2000,14,1,11818,2000,lbd_discrete,797.6110759129909,-1054.771769206345,-10823,-11817,-0.4330792347724048
2000,15,1,12780,2000,lbd_discrete,799.6603954972078,-1076.8874198113022,-11782,-12779,-0.46833541010041
2000,16,1,13254,2000,lbd_discrete,790.5113226770875,-1127.9848082809665,-12265,-13253,-0.48570695594809804
2000,17,1,12752,2000,lbd_discrete,794.4776103409577,-1217.4777007514276,-11759,-12751,-0.46730924283514563
2000,18,1,11994,2000,lbd_discrete,802.243275616283,-989.1802965581171,-10993,-11993,-0.4395294290112079
2000,19,1,12608,2000,lbd_discrete,803.0269317915468,-1204.3895984259989,-11607,-12607,-0.4620318111852154
2000,20,1,12060,2000,lbd_discrete,783.9782655909108,-1069.760283525292,-11078,-12059,-0.4419482518507594
2000,2,1,14652,2000,lbd_discrete,794.931115733647,-1128.182030311241,-13659,-14651,-0.5369420215495049
2000,3,1,12412,2000,lbd_discrete,775.2569450366072,-1077.6362706971436,-11439,-12411,-0.454848640328367
2000,4,1,10884,2000,lbd_discrete,803.240292976181,-961.4217613278994,-9883,-10883,-0.39884922670966255
2000,5,1,12933,2000,lbd_discrete,784.8679962116836,-1163.0659340617458,-11950,-12932,-0.47394268122846156
2000,6,1,12868,2000,lbd_discrete,802.9308074529575,-1028.062259430425,-11867,-12867,-0.47156050721981335
