n,seed,init_obj,optimal,n_evals,f,alg,imp_div_evals,imp_div_evals_new,imp_minus_evals,minus_evals,minus_evals_normalised
1000,10,516,1,5874,1000,lbd_discrete,385.5815796845052,-583.8200543165981,-5389,-5873,-0.44035390267676294
1000,11,507,1,6459,1000,lbd_discrete,394.19399382577393,-588.704227588809,-5965,-6458,-0.48421684036889734
1000,12,490,1,6399,1000,lbd_discrete,410.93673062970214,-555.3819306392234,-5888,-6398,-0.47971807752867873
1000,13,510,1,7738,1000,lbd_discrete,391.65886245407256,-602.6554367793375,-7247,-7737,-0.5801154682462313
1000,14,505,1,6515,1000,lbd_discrete,396.4124495414723,-572.2727151924289,-6019,-6514,-0.48841568568643656
1000,1,509,1,6145,1000,lbd_discrete,392.5159835094148,-542.4906279245959,-5653,-6144,-0.46067331483841994
1000,15,486,1,6434,1000,lbd_discrete,415.14935426900934,-670.9867379602507,-5919,-6433,-0.48234235585213703
1000,16,511,1,6909,1000,lbd_discrete,390.71006918882506,-546.464945970394,-6419,-6908,-0.5179575616705413
1000,17,516,1,5620,1000,lbd_discrete,386.45130247641436,-571.9040561091174,-5135,-5619,-0.4213091399865028
1000,18,475,1,5755,1000,lbd_discrete,426.7992656477794,-505.33592513881786,-5229,-5754,-0.4314313563769963
1000,19,470,1,5845,1000,lbd_discrete,431.4070011443122,-559.9645547692085,-5314,-5844,-0.43817950063732336
1000,20,517,1,6123,1000,lbd_discrete,384.09402178115914,-521.0677818661451,-5639,-6122,-0.45902376846367304
1000,2,500,1,6290,1000,lbd_discrete,401.7385455144511,-491.5124253337288,-5789,-6289,-0.47154532503561675
1000,3,509,1,7436,1000,lbd_discrete,392.37200897837687,-569.2743567522568,-6944,-7435,-0.5574716952837969
1000,4,475,1,7252,1000,lbd_discrete,426.3006793155247,-659.3731434666031,-6726,-7251,-0.5436754892404561
1000,5,519,1,6040,1000,lbd_discrete,382.8633769992058,-573.8766264562081,-5558,-6039,-0.45280047986803634
1000,6,486,1,7319,1000,lbd_discrete,415.59317100586895,-724.2425604689608,-6804,-7318,-0.5486991077453659
1000,7,484,1,6290,1000,lbd_discrete,417.48212253729605,-564.9117716090383,-5773,-6289,-0.4715453250356142
1000,8,508,1,6516,1000,lbd_discrete,393.3375934023472,-492.72246429278636,-6023,-6515,-0.48849066506710775
1000,9,488,1,6198,1000,lbd_discrete,413.3337771166265,-512.2363659131223,-5685,-6197,-0.4646472220139465
1500,10,768,1,10510,1500,lbd_discrete,584.0406856304652,-872.2541917572456,-9777,-10509,-0.5271368378812217
1500,11,766,1,9977,1500,lbd_discrete,587.0175385014039,-982.8934814879333,-9242,-9976,-0.5004012841091497
1500,12,727,1,9941,1500,lbd_discrete,625.4421390972044,-815.3975611282187,-9167,-9940,-0.4985955056179798
1500,13,758,1,9301,1500,lbd_discrete,594.0815797991679,-803.2141975600051,-8558,-9300,-0.4664927768860383
1500,14,744,1,10453,1500,lbd_discrete,608.2535600691003,-844.3723099014235,-9696,-10452,-0.5242776886035337
1500,15,756,1,9055,1500,lbd_discrete,596.2531631326614,-708.6461279225294,-8310,-9054,-0.4541532905297
1500,16,775,1,9683,1500,lbd_discrete,577.4043872895842,-875.0821363108325,-8957,-9682,-0.4856540930979148
1500,1,748,1,9697,1500,lbd_discrete,604.4633867519558,-832.6917136918466,-8944,-9696,-0.48635634028892655
1500,17,766,1,9641,1500,lbd_discrete,586.241329200607,-850.3330608097183,-8906,-9640,-0.4835473515248824
1500,18,722,1,8662,1500,lbd_discrete,630.7784660824616,-779.3695988905589,-7883,-8661,-0.43444020866773936
1500,19,712,1,10286,1500,lbd_discrete,640.5123338829691,-964.5100852045048,-9497,-10285,-0.5159008828250398
1500,20,767,1,10667,1500,lbd_discrete,585.4570735241873,-861.6029861234298,-9933,-10666,-0.5350120385232777
1500,2,742,1,8522,1500,lbd_discrete,610.4536613118123,-790.5251463361946,-7763,-8521,-0.42741773675762684
1500,3,778,1,10231,1500,lbd_discrete,574.4605035062548,-831.5219705983977,-9508,-10230,-0.5131420545746421
1500,4,746,1,9647,1500,lbd_discrete,606.8273346007128,-761.6375603137698,-8892,-9646,-0.4838483146067457
1500,5,780,1,9771,1500,lbd_discrete,572.924529808246,-805.3428280282375,-9050,-9770,-0.49006821829855934
1500,6,751,1,8133,1500,lbd_discrete,601.7417657078038,-824.9418989931869,-7383,-8132,-0.4079052969502423
1500,7,742,1,8770,1500,lbd_discrete,610.1248015977,-896.3031476690724,-8011,-8769,-0.4398575441412529
1500,8,765,1,8658,1500,lbd_discrete,587.8432801516076,-873.6420726970657,-7922,-8657,-0.4342395666131638
1500,9,733,1,10192,1500,lbd_discrete,619.4850061347261,-819.3802308747448,-9424,-10191,-0.5111857945425382
2000,10,1023,1,12661,2000,lbd_discrete,779.4650660991821,-1043.5755773907383,-11683,-12660,-0.46397419922303834
2000,11,1010,1,12957,2000,lbd_discrete,793.0217180689417,-1092.0363550081825,-11966,-12956,-0.47482225317011706
2000,12,982,1,11171,2000,lbd_discrete,820.7696526927053,-1040.2214945391709,-10152,-11170,-0.40936744117861984
2000,13,1005,1,13200,2000,lbd_discrete,797.6953875416779,-1021.2145982777827,-12204,-13199,-0.4837279190793743
2000,14,1006,1,11818,2000,lbd_discrete,797.6110759129909,-1054.771769206345,-10823,-11817,-0.4330792347724048
2000,15,1003,1,12780,2000,lbd_discrete,799.6603954972078,-1076.8874198113022,-11782,-12779,-0.46833541010041
2000,16,1012,1,13254,2000,lbd_discrete,790.5113226770875,-1127.9848082809665,-12265,-13253,-0.48570695594809804
2000,17,1008,1,12752,2000,lbd_discrete,794.4776103409577,-1217.4777007514276,-11759,-12751,-0.46730924283514563
