n,seed,optimal,n_evals,f,alg,imp_div_evals,imp_div_evals_new,imp_minus_evals,minus_evals,minus_evals_normalised
1000,10,1,13332,1000,lbd_fixed_1,50.0,-6615.5,-13281,-13331,-0.9995501237162097
1000,10,1,2791,1000,lbd_fixed_10,3.0434183592465334,-2.2838545613313412,-2740,-2790,-0.2091924720701806
1000,10,1,3617,1000,lbd_fixed_15,2.0205538292569787,-0.9974037123159277,-3566,-3616,-0.2711254405038616
1000,10,1,4115,1000,lbd_fixed_20,1.5368016771601374,-0.43698195822656,-4064,-4114,-0.3084651720776785
1000,10,1,4165,1000,lbd_fixed_5,5.789285714285714,-26.431547619047752,-4114,-4164,-0.31221414111119467
1000,10,1,4861,1000,lbd_fixed_40,0.7626696384865679,0.1973439389832853,-4810,-4860,-0.36439979005773404
1000,10,1,4994,1000,lbd_fixed_60,0.5100541161039942,0.2490460688840114,-4943,-4993,-0.3743720476868862
1000,11,1,11329,1000,lbd_fixed_1,50.0,-5614.0,-11278,-11328,-0.8493664242334803
1000,11,1,3691,1000,lbd_fixed_20,1.5410219099627822,-0.23248130670537576,-3640,-3690,-0.27667391467346475
1000,11,1,3800,1000,lbd_fixed_15,2.0201830697482874,-1.1266225371812053,-3749,-3799,-0.2848466671665292
1000,11,1,3976,1000,lbd_fixed_10,3.038062586708096,-4.370555702037892,-3925,-3975,-0.2980430381645045
1000,11,1,4128,1000,lbd_fixed_5,6.167460317460318,-25.85694444444458,-4077,-4127,-0.30943990402639293
1000,11,1,4766,1000,lbd_fixed_40,0.7693607820105813,0.2083270153688551,-4715,-4765,-0.35727674889405414
1000,11,1,6844,1000,lbd_fixed_60,0.5103685908864662,0.1515469273106618,-6793,-6843,-0.5130839019269701
1000,1,1,2691,1000,lbd_fixed_10,3.06096382547621,-2.0707474994046193,-2640,-2690,-0.20169453400314902
1000,1,1,3277,1000,lbd_fixed_15,2.0571147290712517,-0.7490891612577364,-3226,-3276,-0.24563245107595408
1000,1,1,3645,1000,lbd_fixed_5,6.323412698412699,-22.223611111111175,-3594,-3644,-0.2732248631626297
1000,1,1,3809,1000,lbd_fixed_20,1.5255998853750439,-0.2848887480088148,-3758,-3808,-0.2855214815925619
1000,1,1,5426,1000,lbd_fixed_40,0.752994170518846,0.1317532947287148,-5375,-5425,-0.40676314013646264
1000,1,1,6151,1000,lbd_fixed_1,50.0,-3025.0,-6100,-6150,-0.4611231911223894
1000,1,1,7108,1000,lbd_fixed_60,0.5136964765366115,0.13788430557471085,-7057,-7107,-0.5328784584239333
1000,12,1,2818,1000,lbd_fixed_20,1.505338462593341,0.2160950174020682,-2767,-2817,-0.21121691534827916
1000,12,1,3067,1000,lbd_fixed_15,2.055585462347082,-0.515260694171962,-3016,-3066,-0.2298867811351879
1000,12,1,3581,1000,lbd_fixed_10,2.932636738906087,-3.7990293160571738,-3530,-3580,-0.26842618279972985
1000,12,1,5676,1000,lbd_fixed_40,0.7698672890301207,0.10041113622173539,-5625,-5675,-0.4255079853040413
1000,12,1,5724,1000,lbd_fixed_5,5.848809523809522,-39.53412698412714,-5673,-5723,-0.42910699557621806
1000,12,1,5973,1000,lbd_fixed_60,0.5121918255280227,0.19994508886355938,-5922,-5972,-0.4477768613631252
1000,12,1,6706,1000,lbd_fixed_1,50.0,-3302.5,-6655,-6705,-0.50273674739441
1000,13,1,2638,1000,lbd_fixed_15,2.0176542791985077,-0.21726059629397443,-2587,-2637,-0.19772062682762243
1000,13,1,2757,1000,lbd_fixed_5,6.183333333333331,-15.204166666666657,-2706,-2756,-0.20664317312738958
1000,13,1,3398,1000,lbd_fixed_10,3.0445251987434636,-3.4852274424062304,-3347,-3397,-0.25470495613706223
1000,13,1,3566,1000,lbd_fixed_20,1.5451151950084578,-0.13040270494258105,-3515,-3565,-0.26730149208967535
1000,13,1,4715,1000,lbd_fixed_40,0.7727216233329259,0.22125734304936404,-4664,-4714,-0.353452800479868
1000,13,1,6235,1000,lbd_fixed_60,0.5117881026937159,0.18240037442157797,-6184,-6234,-0.4674214590987479
1000,13,1,7170,1000,lbd_fixed_1,50.0,-3534.5,-7119,-7169,-0.5375271800254566
1000,14,1,2751,1000,lbd_fixed_15,2.0325034527358374,-0.2673306079885027,-2700,-2750,-0.2061932968433681
1000,14,1,3131,1000,lbd_fixed_10,3.056149706846301,-2.7890714226434015,-3080,-3130,-0.23468546149808794
1000,14,1,3193,1000,lbd_fixed_20,1.5367453147887282,0.02030834832358578,-3142,-3192,-0.2393341830996476
1000,14,1,4572,1000,lbd_fixed_40,0.7668146813337628,0.22939605304758168,-4521,-4571,-0.34273074904401285
1000,14,1,6380,1000,lbd_fixed_60,0.5111403215104127,0.1793924367974664,-6329,-6379,-0.4782934692959435
1000,14,1,6759,1000,lbd_fixed_1,50.0,-3329.0,-6708,-6758,-0.506710654569939
1000,14,1,6917,1000,lbd_fixed_5,6.098412698412695,-48.88492063492082,-6866,-6916,-0.5185573967159045
1000,15,1,3531,1000,lbd_fixed_10,3.0475283445484678,-3.5915589548909925,-3480,-3530,-0.2646772137662141
1000,15,1,3762,1000,lbd_fixed_20,1.5473827753108165,-0.25985769055020663,-3711,-3761,-0.28199745070105703
1000,15,1,4017,1000,lbd_fixed_15,2.0193269612834834,-1.3608136934937018,-3966,-4016,-0.3011171927719877
1000,15,1,5094,1000,lbd_fixed_40,0.7662290671562113,0.166131782518043,-5043,-5093,-0.38186998575391745
1000,15,1,5319,1000,lbd_fixed_60,0.5086136205665592,0.23387989961573752,-5268,-5318,-0.3987403464047387
1000,15,1,5819,1000,lbd_fixed_5,6.27738095238095,-39.386309523809686,-5768,-5818,-0.4362300367398981
1000,15,1,6221,1000,lbd_fixed_1,50.0,-3060.0,-6170,-6220,-0.4663717477693107
1000,16,1,2947,1000,lbd_fixed_10,3.0706928047872304,-2.505352391846198,-2896,-2946,-0.2208892554547499
1000,16,1,3381,1000,lbd_fixed_20,1.5420632082781194,-0.03783865068354707,-3330,-3380,-0.253430306665667
1000,16,1,4382,1000,lbd_fixed_15,2.010291812641668,-1.6032222717382227,-4331,-4381,-0.32848466671665305
1000,16,1,4437,1000,lbd_fixed_40,0.765317760483684,0.2419069521609846,-4386,-4436,-0.33260853265352025
1000,16,1,5421,1000,lbd_fixed_5,6.152777777777776,-36.73194444444465,-5370,-5420,-0.4063882432331118
1000,16,1,5702,1000,lbd_fixed_1,50.0,-2800.5,-5651,-5701,-0.4274574492014231
1000,16,1,5847,1000,lbd_fixed_60,0.51828248453626,0.20971772071005282,-5796,-5846,-0.43832945939866536
1000,17,1,13060,1000,lbd_fixed_1,50.0,-6479.5,-13009,-13059,-0.979155732173872
1000,17,1,2432,1000,lbd_fixed_10,2.9918365861864307,-1.5775232034906956,-2381,-2431,-0.18227487440953727
1000,17,1,3339,1000,lbd_fixed_15,2.044170844834461,-0.7505185210355539,-3288,-3338,-0.25028117267751365
1000,17,1,3664,1000,lbd_fixed_20,1.563568880335768,-0.2234670496257589,-3613,-3663,-0.27464947139536616
1000,17,1,4311,1000,lbd_fixed_40,0.7808212624118701,0.2585401961422693,-4260,-4310,-0.32316113068906055
1000,17,1,5761,1000,lbd_fixed_5,6.061111111111112,-39.43392857142876,-5710,-5760,-0.43188123266101947
1000,17,1,6747,1000,lbd_fixed_60,0.5108482013824052,0.15726722344125313,-6696,-6746,-0.5058109020019493
1000,18,1,2964,1000,lbd_fixed_15,1.9913487217984978,-0.4578774229823704,-2913,-2963,-0.22216390492614535
1000,18,1,3240,1000,lbd_fixed_20,1.5441437501650384,0.020604195654442846,-3189,-3239,-0.24285821399115246
1000,18,1,3704,1000,lbd_fixed_10,3.226642677068374,-3.9603988052710903,-3653,-3703,-0.2776486466221784
1000,18,1,4030,1000,lbd_fixed_5,5.888095238095238,-25.147023809523926,-3979,-4029,-0.30209192472070184
1000,18,1,4554,1000,lbd_fixed_1,50.0,-2226.5,-4503,-4553,-0.3413811201919145
1000,18,1,5199,1000,lbd_fixed_40,0.7700970774404652,0.15243087717745016,-5148,-5198,-0.3897428207243007
1000,18,1,6335,1000,lbd_fixed_60,0.5163623907598192,0.1818017233134304,-6284,-6334,-0.47491939716577963
1000,19,1,11273,1000,lbd_fixed_1,50.0,-5586.0,-11222,-11272,-0.8451675789159402
1000,19,1,3265,1000,lbd_fixed_15,2.0502439991570425,-0.6818049929166082,-3214,-3264,-0.24473269850791024
1000,19,1,3374,1000,lbd_fixed_20,1.5634881645652596,-0.08502146177034342,-3323,-3373,-0.2529054510009746
1000,19,1,4604,1000,lbd_fixed_5,6.2297619047619035,-29.813095238095386,-4553,-4603,-0.3451300892254632
1000,19,1,4854,1000,lbd_fixed_40,0.7649268164741917,0.1986112307336281,-4803,-4853,-0.36387493439304197
1000,19,1,4911,1000,lbd_fixed_10,2.999472332792766,-6.207494154881916,-4860,-4910,-0.3681487590912498
1000,19,1,6240,1000,lbd_fixed_60,0.5049699502575424,0.18633788296884923,-6189,-6239,-0.46779635600209957
1000,20,1,2785,1000,lbd_fixed_10,3.0103924025750644,-2.2504041366270453,-2734,-2784,-0.2087425957861587
1000,20,1,3674,1000,lbd_fixed_20,1.5548945192274375,-0.19340529745856277,-3623,-3673,-0.2753992652020695
1000,20,1,4317,1000,lbd_fixed_40,0.7557930693844706,0.2649015303667842,-4266,-4316,-0.32361100697308254
1000,20,1,4992,1000,lbd_fixed_15,2.0196093289796444,-2.1469932387661887,-4941,-4991,-0.3742220889255455
1000,20,1,5050,1000,lbd_fixed_5,5.970238095238093,-32.83769841269863,-4999,-5049,-0.378570893004424
1000,20,1,5601,1000,lbd_fixed_1,50.0,-2750.0,-5550,-5600,-0.4198845317537224
1000,20,1,6072,1000,lbd_fixed_60,0.5098753750877605,0.19253968013143866,-6021,-6071,-0.45519982004948634
1000,2,1,3312,1000,lbd_fixed_20,1.5227366446952746,-0.02691763376695154,-3261,-3311,-0.24825672939941512
1000,2,1,3412,1000,lbd_fixed_15,2.0650102419857017,-0.7928381590470284,-3361,-3411,-0.2557546674664467
1000,2,1,3528,1000,lbd_fixed_5,6.243253968253965,-21.696031746031824,-3477,-3527,-0.2644522756242031
1000,2,1,3634,1000,lbd_fixed_10,3.0239477369895327,-4.060951125328055,-3583,-3633,-0.27240008997525655
1000,2,1,4830,1000,lbd_fixed_40,0.7714659279797611,0.20267780166171734,-4779,-4829,-0.3620754292569543
1000,2,1,6197,1000,lbd_fixed_1,50.0,-3048.0,-6146,-6196,-0.4645722426332234
1000,2,1,6412,1000,lbd_fixed_60,0.5062025492244364,0.17610327108046148,-6361,-6411,-0.4806928094773937
1000,3,1,3530,1000,lbd_fixed_15,2.0350325948341417,-0.931940085429591,-3479,-3529,-0.2646022343855439
1000,3,1,4114,1000,lbd_fixed_20,1.5266956761823347,-0.3535206398896747,-4063,-4113,-0.30839019269700835
1000,3,1,5064,1000,lbd_fixed_5,5.934920634920633,-33.65436507936525,-5013,-5063,-0.37962060433380856
1000,3,1,5293,1000,lbd_fixed_40,0.7759922969021826,0.15379933511101634,-5242,-5292,-0.3967908825073106
1000,3,1,5572,1000,lbd_fixed_10,2.9861663963831138,-7.470704083068621,-5521,-5571,-0.41771012971432814
