n,seed,optimal,n_evals,f,alg,imp_div_evals,imp_div_evals_new,imp_minus_evals,minus_evals
1000,10,1,1500,1000,dyn_theory,0.46122129819498225,-1.052306044563941,-1489,-1499
1000,11,1,1255,1000,dyn_theory,0.45747597039192966,-0.8814963058533005,-1244,-1254
1000,1,1,1516,1000,dyn_theory,0.46161464197178487,-1.0438877099394124,-1505,-1515
1000,12,1,708,1000,dyn_theory,0.4689485207438498,-0.33278959387705503,-697,-707
1000,13,1,1216,1000,dyn_theory,0.44678024637189795,-0.7225138371714811,-1205,-1215
1000,14,1,889,1000,dyn_theory,0.4747462136219252,-0.3832144750503921,-878,-888
1000,15,1,1042,1000,dyn_theory,0.46140191902763067,-0.8010735745945267,-1031,-1041
1000,16,1,1132,1000,dyn_theory,0.44664502164502173,-0.620260840695124,-1121,-1131
1000,17,1,1829,1000,dyn_theory,0.4529855946032416,-1.4125319093688378,-1818,-1828
1000,18,1,3413,1000,dyn_theory,0.44891319765545773,-2.686082355227961,-3402,-3412
1000,19,1,1297,1000,dyn_theory,0.4458768448593041,-0.8682470651628116,-1286,-1296
1000,20,1,1467,1000,dyn_theory,0.4206703375743623,-0.9957322013920418,-1456,-1466
1000,2,1,1609,1000,dyn_theory,0.4462847866419295,-0.5149889899434535,-1598,-1608
1000,3,1,895,1000,dyn_theory,0.4198379635450573,-0.4200332791903918,-884,-894
1000,4,1,1230,1000,dyn_theory,0.430927183219139,-0.9629964734558597,-1219,-1229
1000,5,1,1439,1000,dyn_theory,0.4378273365759492,-0.8726683249473667,-1428,-1438
1000,6,1,1358,1000,dyn_theory,0.4591088048122475,-0.24592866535529995,-1347,-1357
1000,7,1,1026,1000,dyn_theory,0.4414773226844165,-0.5353980195905971,-1015,-1025
1000,8,1,1400,1000,dyn_theory,0.4687328199814326,-0.6199164318392423,-1389,-1399
1000,9,1,1352,1000,dyn_theory,0.4477382982178379,-0.5398116745556908,-1341,-1351
1500,10,1,1358,1500,dyn_theory,0.6569259638996481,-0.6818438692068638,-1342,-1357
1500,11,1,1943,1500,dyn_theory,0.6561573775640072,-0.7673379117290189,-1927,-1942
1500,1,1,2072,1500,dyn_theory,0.6360651574038301,-1.3226175745221735,-2056,-2071
1500,12,1,997,1500,dyn_theory,0.6714305631875291,-0.40115602440112375,-981,-996
1500,13,1,1339,1500,dyn_theory,0.6494818647586775,-0.7037539593162209,-1323,-1338
1500,14,1,2793,1500,dyn_theory,0.6694916009545008,-1.9915860697034482,-2777,-2792
1500,15,1,1351,1500,dyn_theory,0.6655129960224945,-0.7821590685231443,-1335,-1350
1500,16,1,2025,1500,dyn_theory,0.6695333341329983,-0.7646842140958259,-2009,-2024
1500,17,1,1257,1500,dyn_theory,0.6811330882464959,-0.4585961300546158,-1241,-1256
1500,18,1,1663,1500,dyn_theory,0.6618013019555669,-0.7324333471395914,-1647,-1662
1500,19,1,2068,1500,dyn_theory,0.6940708098013636,-1.1723105085701373,-2052,-2067
1500,20,1,1497,1500,dyn_theory,0.671137948763685,-0.9716552772004311,-1481,-1496
1500,2,1,2104,1500,dyn_theory,0.7097607656891594,-1.084513783314839,-2088,-2103
1500,3,1,2086,1500,dyn_theory,0.6482777781888164,-1.4586025152120823,-2070,-2085
1500,4,1,2072,1500,dyn_theory,0.6755459085345422,-1.5707990928934694,-2056,-2071
1500,5,1,3442,1500,dyn_theory,0.6484502881170439,-2.447050140615586,-3426,-3441
1500,6,1,2044,1500,dyn_theory,0.6808262847414469,-1.2254198632285707,-2028,-2043
1500,7,1,1767,1500,dyn_theory,0.6506221795967447,-0.9971196231110764,-1751,-1766
1500,8,1,1360,1500,dyn_theory,0.6649009980093618,-0.7363973103828572,-1344,-1359
1500,9,1,1543,1500,dyn_theory,0.6754564095201507,-0.7079734774840367,-1527,-1542
2000,10,1,2393,2000,dyn_theory,0.8758461822179264,-1.0187747555616709,-2372,-2392
2000,11,1,3088,2000,dyn_theory,0.9039481994478189,-1.5055427898769933,-3067,-3087
2000,1,1,2904,2000,dyn_theory,0.8546325239507362,-0.9956555236240798,-2883,-2903
2000,12,1,2409,2000,dyn_theory,0.8693457110055245,-1.4136634965906107,-2388,-2408
