n,seed,optimal,n_evals,f,alg,imp_div_evals,imp_div_evals_new,imp_minus_evals,minus_evals,minus_evals_normalised
1000,10,1,1843,1000,lbd_discrete,0.4424092754975108,-0.7356634872504765,-1832,-1842,-0.13811201919472144
1000,11,1,1528,1000,lbd_discrete,0.4557084669616639,-0.5956373674089882,-1517,-1527,-0.11449351428357205
1000,1,1,691,1000,lbd_discrete,0.4166086023924769,-0.45585911779454624,-680,-690,-0.05173577266251782
1000,12,1,1701,1000,lbd_discrete,0.43400757483341423,-0.7899316660401199,-1690,-1700,-0.1274649471395366
1000,13,1,1160,1000,lbd_discrete,0.45308996558996556,-0.3651450770508256,-1149,-1159,-0.08690110219689585
1000,14,1,987,1000,lbd_discrete,0.4509638113876521,-0.5404715323628777,-976,-986,-0.07392966934093124
1000,15,1,899,1000,lbd_discrete,0.430034341241435,-0.5379549596133719,-888,-898,-0.06733148384194344
1000,16,1,1429,1000,lbd_discrete,0.4306361930932869,-0.9370165120135092,-1418,-1428,-0.10707055559721075
1000,17,1,1857,1000,lbd_discrete,0.4454631702243379,-1.8124995437134874,-1846,-1856,-0.1391617305241059
1000,18,1,754,1000,lbd_discrete,0.45770624587120745,-0.44282458872756425,-743,-753,-0.0564594736447477
1000,19,1,1609,1000,lbd_discrete,0.4434364470425851,-0.5000704558492078,-1598,-1608,-0.12056684411786761
1000,20,1,1601,1000,lbd_discrete,0.4198297356216919,-1.138551810830368,-1590,-1600,-0.11996700907250504
1000,2,1,1189,1000,lbd_discrete,0.44710620699751136,-0.6081358871952552,-1178,-1188,-0.089075504236335
1000,3,1,1349,1000,lbd_discrete,0.4548798112477829,-0.599986057243484,-1338,-1348,-0.10107220514358552
1000,4,1,901,1000,lbd_discrete,0.4333368437734772,-0.25218648900941265,-890,-900,-0.06748144260328409
1000,5,1,1097,1000,lbd_discrete,0.44770524156933894,-0.9816485490537371,-1086,-1096,-0.08217740121466598
1000,6,1,1230,1000,lbd_discrete,0.4609343872501767,-0.8498611520563608,-1219,-1229,-0.09214965884381796
1000,7,1,1411,1000,lbd_discrete,0.47237266697593266,-0.6788950970573304,-1400,-1410,-0.10572092674514509
1000,8,1,1724,1000,lbd_discrete,0.4167112049950796,-1.426373602078694,-1713,-1723,-0.12918947289495386
1000,9,1,1114,1000,lbd_discrete,0.43463927197673324,-0.8827675401224164,-1103,-1113,-0.08345205068606132
1500,10,1,2395,1500,lbd_discrete,0.6999180775651364,-1.4977367184502193,-2379,-2394,-0.12008426966292135
1500,11,1,1861,1500,lbd_discrete,0.683612201414501,-1.2618050787027424,-1845,-1860,-0.09329855537720708
1500,1,1,1608,1500,lbd_discrete,0.6708828937482025,-0.680086726287654,-1592,-1607,-0.08060794542536115
1500,12,1,2501,1500,lbd_discrete,0.6358182202451281,-1.17968717809219,-2485,-2500,-0.1254012841091493
1500,13,1,1259,1500,lbd_discrete,0.6825608994953501,-0.7228419014944728,-1243,-1258,-0.06310192616372391
1500,14,1,1238,1500,lbd_discrete,0.6622173616921515,-0.45301902709448794,-1222,-1237,-0.06204855537720705
1500,15,1,2351,1500,lbd_discrete,0.6326882982413672,-1.3221813267646514,-2335,-2350,-0.11787720706260031
1500,16,1,1780,1500,lbd_discrete,0.6628473031014488,-0.9134360099297931,-1764,-1779,-0.08923555377207062
1500,17,1,1865,1500,lbd_discrete,0.6712020565177221,-0.9939737449138788,-1849,-1864,-0.09349919743178169
1500,18,1,1401,1500,lbd_discrete,0.6532834696579062,-0.5641229122433841,-1385,-1400,-0.0702247191011236
1500,19,1,3041,1500,lbd_discrete,0.6461941953321262,-1.8250127730110608,-3025,-3040,-0.1524879614767255
1500,20,1,1763,1500,lbd_discrete,0.6600261411783912,-0.9361438531995406,-1747,-1762,-0.08838282504012844
1500,2,1,1728,1500,lbd_discrete,0.647731202489267,-0.6484545423001296,-1712,-1727,-0.08662720706260033
1500,3,1,3151,1500,lbd_discrete,0.7017820796324318,-1.9556092140476877,-3135,-3150,-0.15800561797752813
1500,4,1,1792,1500,lbd_discrete,0.6454037510582085,-1.1696691712882694,-1776,-1791,-0.08983747993579458
1500,5,1,1856,1500,lbd_discrete,0.6487024544606319,-0.8910150492690322,-1840,-1855,-0.09304775280898879
1500,6,1,1350,1500,lbd_discrete,0.702107195310638,-0.8834458499605244,-1334,-1349,-0.06766653290529695
1500,7,1,2001,1500,lbd_discrete,0.6833881064558499,-1.0944229468529265,-1985,-2000,-0.10032102728731943
1500,8,1,1457,1500,lbd_discrete,0.6982461982461983,-0.831986885392542,-1441,-1456,-0.07303370786516854
1500,9,1,2082,1500,lbd_discrete,0.6626864658511126,-1.3138152588171237,-2066,-2081,-0.10438402889245582
2000,10,1,2068,2000,lbd_discrete,0.8702399405147082,-1.4513541921042656,-2047,-2067,-0.07575313347504217
2000,11,1,3239,2000,lbd_discrete,0.922861517498666,-1.3360952162406172,-3218,-3238,-0.1186689144616287
2000,1,1,2885,2000,lbd_discrete,0.873668095797008,-1.5843052612029154,-2864,-2884,-0.10569522832221653
2000,12,1,3588,2000,lbd_discrete,0.9053069335332593,-2.122962364055035,-3567,-3587,-0.13145935644652934
2000,13,1,2369,2000,lbd_discrete,0.9054716047884926,-0.8810393769917877,-2348,-2368,-0.0867844315766327
2000,14,1,3226,2000,lbd_discrete,0.9109036604667833,-1.7065103893682356,-3205,-3225,-0.11819247965989883
2000,15,1,2051,2000,lbd_discrete,0.8807332155861568,-0.9614523253287928,-2030,-2050,-0.07513010334970316
2000,16,1,4619,2000,lbd_discrete,0.8557246315535741,-2.8019112311559993,-4598,-4618,-0.1692443011067948
2000,17,1,2397,2000,lbd_discrete,0.8790687330214678,-1.3365447002742559,-2376,-2396,-0.08781059884189694
2000,18,1,2203,2000,lbd_discrete,0.8280602150306119,-1.0421707009040235,-2182,-2202,-0.08070072564685186
2000,19,1,2506,2000,lbd_discrete,0.8442787793404266,-1.478792406734973,-2485,-2505,-0.091805321410247
2000,20,1,3650,2000,lbd_discrete,0.8573184085309082,-1.689872379550508,-3629,-3649,-0.1337315839624716
2000,2,1,2257,2000,lbd_discrete,0.8442123414626661,-1.0304527686931275,-2236,-2256,-0.08267976251557574
2000,3,1,2608,2000,lbd_discrete,0.897960538760235,-1.5737741578239715,-2587,-2607,-0.09554350216228101
2000,4,1,3139,2000,lbd_discrete,0.8414220600985306,-1.7838584984690284,-3118,-3138,-0.11500403137139921
2000,5,1,2442,2000,lbd_discrete,0.9211772666568063,-1.3519214831494906,-2421,-2441,-0.08945979623250017
2000,6,1,2573,2000,lbd_discrete,0.8994133672277687,-1.163095732738705,-2552,-2572,-0.0942607930807007
2000,7,1,2501,2000,lbd_discrete,0.8614708253377029,-1.4011642737478134,-2480,-2500,-0.09162207725573558
2000,8,1,2189,2000,lbd_discrete,0.8912702620838292,-0.7543608984680531,-2168,-2188,-0.08018764201421974
2000,9,1,2682,2000,lbd_discrete,0.9013353642272404,-1.1371952134857788,-2661,-2681,-0.09825551564905083
500,10,1,282,500,lbd_discrete,0.23496827246827245,-0.04125921280333045,-276,-281,-0.04350518656138721
500,11,1,666,500,lbd_discrete,0.2155191724231972,-0.284456850673956,-660,-665,-0.10295711410435052
500,1,1,529,500,lbd_discrete,0.220109815698051,-0.5867191051749876,-523,-528,-0.08174640037157456
500,12,1,156,500,lbd_discrete,0.23394660894660896,0.06091269841269841,-150,-155,-0.023997522836352377
500,13,1,712,500,lbd_discrete,0.2253956228956229,-0.6847507077807256,-706,-711,-0.11007895959126798
500,14,1,548,500,lbd_discrete,0.24571960297766748,-0.49526814843618516,-542,-547,-0.08468803220312743
500,15,1,381,500,lbd_discrete,0.23900978407557355,-0.04089200273410799,-375,-380,-0.05883263663105743
500,16,1,230,500,lbd_discrete,0.24088702147525676,0.007947719491837136,-224,-229,-0.03545440470661093
500,17,1,553,500,lbd_discrete,0.22366437484084545,-0.38610959691257773,-547,-552,-0.08546214584300976
500,18,1,457,500,lbd_discrete,0.23838022165387895,-0.42963874146149683,-451,-456,-0.07059916395726892
500,19,1,502,500,lbd_discrete,0.21770574402153348,-0.1294849761901646,-496,-501,-0.07756618671620996
500,20,1,685,500,lbd_discrete,0.24415409613832698,-0.3494174648064235,-679,-684,-0.10589874593590339
500,2,1,604,500,lbd_discrete,0.23476010101010103,-0.6098147249794975,-598,-603,-0.09335810496980958
500,3,1,992,500,lbd_discrete,0.22807829425476484,-0.867145931882205,-986,-991,-0.15342932342467866
500,4,1,387,500,lbd_discrete,0.23176782649399283,-0.2239624440993609,-381,-386,-0.05976157299891625
500,5,1,437,500,lbd_discrete,0.23007172565996098,-0.1201249037379869,-431,-436,-0.06750270939773959
500,6,1,398,500,lbd_discrete,0.22635409825812303,-0.23547808543938575,-392,-397,-0.06146462300665738
500,7,1,465,500,lbd_discrete,0.2424861973775017,-0.41514217210054466,-459,-464,-0.07183774578108067
500,8,1,1272,500,lbd_discrete,0.23672639345593308,-1.2651365831880537,-1266,-1271,-0.19677968725808948
500,9,1,1201,500,lbd_discrete,0.22705882352941179,-0.7388352605724774,-1195,-1200,-0.18578727357176036
