n,seed,optimal,n_evals,f,alg,imp_div_evals,imp_div_evals_new,imp_minus_evals,minus_evals,minus_evals_normalised
1000,10,1,3818,1000,dyn_theory,4.951341692363362,-8.261811317580314,-3767,-3817,-0.2861962960185948
1000,11,1,3124,1000,dyn_theory,5.166736902671435,-9.457730039264222,-3073,-3123,-0.2341606058333958
1000,1,1,2939,1000,dyn_theory,4.844913341110095,-9.937675356128961,-2888,-2938,-0.22028942040938762
1000,12,1,3020,1000,dyn_theory,5.1438835949052635,-7.794128631205532,-2969,-3019,-0.226362750243683
1000,13,1,2652,1000,dyn_theory,5.494913872341273,-8.88393892311962,-2601,-2651,-0.1987703381570069
1000,14,1,2700,1000,dyn_theory,4.943511987207637,-5.450074462273616,-2649,-2699,-0.20236934842918206
1000,15,1,3179,1000,dyn_theory,5.14140563266541,-8.040426655130727,-3128,-3178,-0.2382844717702633
1000,16,1,3533,1000,dyn_theory,4.931648620986856,-14.117603443321874,-3482,-3532,-0.2648271725275551
1000,17,1,3963,1000,dyn_theory,5.34554373730844,-10.070562930027243,-3912,-3962,-0.2970683062157908
1000,18,1,2897,1000,dyn_theory,4.948075486891274,-7.68056605766543,-2846,-2896,-0.21714028642123429
1000,19,1,2539,1000,dyn_theory,5.01329408172734,-6.28046946202705,-2488,-2538,-0.19029766814126123
1000,20,1,3353,1000,dyn_theory,5.212479494273159,-6.60536481701043,-3302,-3352,-0.25133088400689807
1000,2,1,2778,1000,dyn_theory,4.949191785499832,-5.946417729097623,-2727,-2777,-0.2082177401214666
1000,3,1,2471,1000,dyn_theory,5.283660321160319,-6.173645843903962,-2420,-2470,-0.1851990702556798
1000,4,1,2758,1000,dyn_theory,5.143642365546388,-9.311301583764818,-2707,-2757,-0.20671815250806055
1000,5,1,3901,1000,dyn_theory,5.174450119883554,-8.22679707065656,-3850,-3900,-0.29241958461423107
1000,6,1,3552,1000,dyn_theory,5.148185463375688,-9.851208613688476,-3501,-3551,-0.2662517807602911
1000,7,1,3815,1000,dyn_theory,5.120591206179439,-9.055173157160876,-3764,-3814,-0.28597135787658395
1000,8,1,3481,1000,dyn_theory,5.070023879007009,-10.327262503700577,-3430,-3480,-0.2609282447326987
1000,9,1,2647,1000,dyn_theory,5.202258842542452,-4.781384507376408,-2596,-2646,-0.19839544125365532
1500,10,1,4911,1500,dyn_theory,7.7182773518645975,-15.277771194923746,-4835,-4910,-0.24628812199036917
1500,11,1,5361,1500,dyn_theory,7.558341751186034,-13.433868928968842,-5285,-5360,-0.26886035313001616
1500,1,1,4406,1500,dyn_theory,7.107972443842455,-10.512157829505735,-4330,-4405,-0.22095706260032102
1500,12,1,5028,1500,dyn_theory,7.572859073037835,-12.038140731698977,-4952,-5027,-0.2521569020866774
1500,13,1,4299,1500,dyn_theory,7.537047215504628,-12.502514382433379,-4223,-4298,-0.21558988764044942
1500,14,1,4670,1500,dyn_theory,7.291718274720692,-8.53316946932564,-4594,-4669,-0.23419943820224728
1500,15,1,4637,1500,dyn_theory,7.582993189301231,-15.461127558575578,-4561,-4636,-0.23254414125200656
1500,16,1,4847,1500,dyn_theory,7.4969111612560555,-15.661147010906983,-4771,-4846,-0.2430778491171751
1500,17,1,4865,1500,dyn_theory,7.343785535188858,-11.729658643697515,-4789,-4864,-0.2439807383627609
1500,18,1,5552,1500,dyn_theory,7.620498044466374,-13.911680409987811,-5476,-5551,-0.27844101123595505
1500,19,1,5350,1500,dyn_theory,7.466152904473141,-8.900151943835146,-5274,-5349,-0.26830858747993586
1500,20,1,5248,1500,dyn_theory,7.575178751417134,-13.026200130264396,-5172,-5247,-0.2631922150882826
1500,2,1,4199,1500,dyn_theory,7.319994827378387,-10.950766136807236,-4123,-4198,-0.21057383627608361
1500,3,1,4415,1500,dyn_theory,7.691792524696181,-11.36468401050442,-4339,-4414,-0.22140850722311417
1500,4,1,4837,1500,dyn_theory,7.464084792410627,-11.166378388728429,-4761,-4836,-0.24257624398073838
1500,5,1,4997,1500,dyn_theory,7.532778518369942,-18.82272624143097,-4921,-4996,-0.2506019261637238
1500,6,1,6042,1500,dyn_theory,7.527750648387381,-15.175772162273173,-5966,-6041,-0.3030196629213484
1500,7,1,4948,1500,dyn_theory,7.528635143784601,-10.443940339628023,-4872,-4947,-0.24814406099518463
1500,8,1,4169,1500,dyn_theory,7.890196717793334,-11.323125693563792,-4093,-4168,-0.2090690208667738
1500,9,1,4793,1500,dyn_theory,7.5715724621752525,-12.644532256917902,-4717,-4792,-0.24036918138041738
2000,10,1,6258,2000,dyn_theory,9.944566924413577,-17.871089994536458,-6157,-6257,-0.2293117349556549
2000,11,1,5902,2000,dyn_theory,10.011892980597228,-14.289362439412605,-5801,-5901,-0.21626475115443813
2000,1,1,7103,2000,dyn_theory,10.126708284983469,-14.595921314739913,-7002,-7102,-0.2602799970680934
2000,12,1,5819,2000,dyn_theory,10.028008019613095,-18.375904829551782,-5718,-5818,-0.2132228981895476
2000,13,1,5667,2000,dyn_theory,10.29011090149854,-16.74519181407306,-5566,-5666,-0.20765227589239899
2000,14,1,6399,2000,dyn_theory,10.017784310710077,-15.003435205672629,-6298,-6398,-0.2344792201128785
2000,15,1,7547,2000,dyn_theory,9.978339035016775,-17.857070875758048,-7446,-7546,-0.27655207798871184
2000,16,1,6520,2000,dyn_theory,10.322626808480626,-16.731476096349372,-6419,-6519,-0.23891372865205596
2000,17,1,6814,2000,dyn_theory,9.70725166114658,-19.219277228485875,-6713,-6813,-0.2496884849373304
2000,18,1,6578,2000,dyn_theory,10.189173430008061,-18.706395105704352,-6477,-6577,-0.24103936084438873
2000,19,1,4962,2000,dyn_theory,10.235398780448788,-10.736484943116537,-4861,-4961,-0.18181485010628176
